int	enum.ECombinationType	int	int[]	LangText	enum.EQuestType	LangText	string	int[]	int[]	enum.EEndQuestDemandType	int[]	int[]	int[]	int	int[]	enum.EAcceptType	enum.ECompleteType	enum.ETimeLimitType	string	int[]	int	int	int	bool
258				三角龙累计击坠或助攻	7	三角龙累计击坠或助攻				10	10004	0	0	10	0	0	2			37			5	
259				三角龙获得任意玩法胜利	7	三角龙获得任意玩法胜利				6	10004	0	0	5	0	0	2			37			5	
260				三角龙在任意玩法中获得全场最佳	7	三角龙在任意玩法中获得全场最佳				5	10004	0	0	3	0	0	2			37			5	
261				鸣神累计击坠或助攻	7	鸣神累计击坠或助攻				10	10005	0	0	10	0	0	2			37			5	
262				鸣神获得任意玩法胜利	7	鸣神获得任意玩法胜利				6	10005	0	0	5	0	0	2			37			5	
263				鸣神在任意玩法中获得全场最佳	7	鸣神在任意玩法中获得全场最佳				5	10005	0	0	3	0	0	2			37			5	
264				赤霄累计击坠或助攻	7	赤霄累计击坠或助攻				10	10012	0	0	10	0	0	2			37			5	
265				赤霄获得任意玩法胜利	7	赤霄获得任意玩法胜利				6	10012	0	0	5	0	0	2			38			5	
266				赤霄在任意玩法中获得全场最佳	7	赤霄在任意玩法中获得全场最佳				5	10012	0	0	3	0	0	2			38			5	
267				矛隼累计击坠或助攻	7	矛隼累计击坠或助攻				10	10001	0	0	20	0	0	2			38			1	
268				矛隼获得任意玩法胜利	7	矛隼获得任意玩法胜利				6	10001	0	0	10	0	0	2			38			1	
269				矛隼在任意玩法中获得全场最佳	7	矛隼在任意玩法中获得全场最佳				5	10001	0	0	5	0	0	2			38			1	
270				恩赫里亚累计击坠或助攻	7	恩赫里亚累计击坠或助攻				10	10002	0	0	20	0	0	2			38			1	
271				恩赫里亚获得任意玩法胜利	7	恩赫里亚获得任意玩法胜利				6	10002	0	0	10	0	0	2			38			1	
272				恩赫里亚在任意玩法中获得全场最佳	7	恩赫里亚在任意玩法中获得全场最佳				5	10002	0	0	5	0	0	2			38			1	
273				龙渊累计击坠或助攻	7	龙渊累计击坠或助攻				10	10003	0	0	20	0	0	2			38			1	
274				龙渊获得任意玩法胜利	7	龙渊获得任意玩法胜利				6	10003	0	0	10	0	0	2			38			1	
275				龙渊在任意玩法中获得全场最佳	7	龙渊在任意玩法中获得全场最佳				5	10003	0	0	5	0	0	2			38			1	
276				三角龙累计击坠或助攻	7	三角龙累计击坠或助攻				10	10004	0	0	20	0	0	2			38			1	
277				三角龙获得任意玩法胜利	7	三角龙获得任意玩法胜利				6	10004	0	0	10	0	0	2			38			1	
278				三角龙在任意玩法中获得全场最佳	7	三角龙在任意玩法中获得全场最佳				5	10004	0	0	5	0	0	2			38			1	
279				鸣神累计击坠或助攻	7	鸣神累计击坠或助攻				10	10005	0	0	20	0	0	2			38			1	
280				鸣神获得任意玩法胜利	7	鸣神获得任意玩法胜利				6	10005	0	0	10	0	0	2			38			1	
281				鸣神在任意玩法中获得全场最佳	7	鸣神在任意玩法中获得全场最佳				5	10005	0	0	5	0	0	2			38			1	
282				赤霄累计击坠或助攻	7	赤霄累计击坠或助攻				10	10012	0	0	20	0	0	2			38			1	
283				赤霄获得任意玩法胜利	7	赤霄获得任意玩法胜利				6	10012	0	0	10	0	0	2			38			1	
284				赤霄在任意玩法中获得全场最佳	7	赤霄在任意玩法中获得全场最佳				5	10012	0	0	5	0	0	2			38			1	
285				任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	1	0	0	2			38			10	
286				任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	1	0	0	2			38			10	
287				任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	1	0	0	2			38			10	
288				任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	1	0	0	2			38			10	
289				任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	3	0	0	2			38			5	
290				任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	3	0	0	2			38			5	
291				任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	3	0	0	2			38			5	
292				任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	3	0	0	2			38			5	
293				任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	5	0	0	2			38			1	
294				任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	5	0	0	2			38			1	
295				任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	5	0	0	2			38			1	
296				任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	5	0	0	2			38			1	
297		333		继承-击杀目标1	7	在任意玩法中累计击毁敌方机甲				2	0	0	0	5	0	0	2			39				
298		333		继承-击杀目标2	7	在任意玩法中累计击毁敌方机甲				2	0	0	0	10	0	0	2			39	297			
299		333		继承-击杀目标3	7	在任意玩法中累计击毁敌方机甲				2	0	0	0	20	0	0	2			39	298			
300		334		继承-累计造成伤害1	7	在任意玩法中累计造成伤害				4	0	0	0	200000	0	0	2			39				
301		334		继承-累计造成伤害2	7	在任意玩法中累计造成伤害				4	0	0	0	400000	0	0	2			39	300			
302		334		继承-累计造成伤害3	7	在任意玩法中累计造成伤害				4	0	0	0	800000	0	0	2			39	301			
303		335		继承-累计获得胜利1	7	在任意玩法中累计获得胜利				6	0	0	0	3	0	0	2			39				
304		335		继承-累计获得胜利2	7	在任意玩法中累计获得胜利				6	0	0	0	6	0	0	2			39	303			
305		335		继承-累计获得胜利3	7	在任意玩法中累计获得胜利				6	0	0	0	12	0	0	2			39	304			
306		336		继承-获得全场最佳1	7	在任意玩法中累计获得全场最佳				5	0	0	0	1	0	0	2			39				
307		336		继承-获得全场最佳2	7	在任意玩法中累计获得全场最佳				5	0	0	0	3	0	0	2			39	306			
308		336		继承-获得全场最佳3	7	在任意玩法中累计获得全场最佳				5	0	0	0	5	0	0	2			39	307			
309		337		继承-密斯之眼玩法中获得胜利1	7	在密斯之眼玩法中获得胜利				6	0	712	0	1	0	0	2			39				
310		337		继承-密斯之眼玩法中获得胜利2	7	在密斯之眼玩法中获得胜利				6	0	712	0	5	0	0	2			39	309			
311		337		继承-密斯之眼玩法中获得胜利3	7	在密斯之眼玩法中获得胜利				6	0	712	0	10	0	0	2			39	310			
312		338		继承-在密斯之眼玩法在获得全场最佳1	7	在密斯之眼玩法在获得全场最佳				5	0	712	0	1	0	0	2			39				
313		338		继承-在密斯之眼玩法在获得全场最佳2	7	在密斯之眼玩法在获得全场最佳				5	0	712	0	3	0	0	2			39	312			
314		338		继承-在密斯之眼玩法在获得全场最佳3	7	在密斯之眼玩法在获得全场最佳				5	0	712	0	5	0	0	2			39	313			
315		339		继承-虚拟对战玩法中获得胜利1	7	在虚拟对战玩法中获得胜利				6	0	120	0	1	0	0	2			39				
316		339		继承-虚拟对战玩法中获得胜利2	7	在虚拟对战玩法中获得胜利				6	0	120	0	5	0	0	2			39	315			
317		339		继承-虚拟对战玩法中获得胜利3	7	在虚拟对战玩法中获得胜利				6	0	120	0	10	0	0	2			39	316			
318		340		继承-在虚拟对战玩法在获得全场最佳1	7	在虚拟对战玩法在获得全场最佳				5	0	120	0	1	0	0	2			39				
319		340		继承-在虚拟对战玩法在获得全场最佳2	7	在虚拟对战玩法在获得全场最佳				5	0	120	0	3	0	0	2			39	318			
320		340		继承-在虚拟对战玩法在获得全场最佳3	7	在虚拟对战玩法在获得全场最佳				5	0	120	0	5	0	0	2			39	319			
321				付费-使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	5	0	0	2			40				
322				付费-使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	5	0	0	2			40				
323				付费-使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	5	0	0	2			40				
324				付费-使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	5	0	0	2			40				
325				付费-使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	8	0	0	2			40				
326				付费-使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	8	0	0	2			40				
327				付费-使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	8	0	0	2			40				
328				付费-使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	8	0	0	2			40				
329				付费-使用任意机甲获得密斯之眼胜利	7	任意机甲获得密斯之眼胜利				6	0	712	0	10	0	0	2			40				
330				付费-使用任意机甲获得虚拟对战胜利	7	任意机甲获得虚拟对战胜利				6	0	120	0	10	0	0	2			40				
331				付费-使用任意机甲在密斯之眼玩法中获得全场最佳	7	任意机甲在密斯之眼玩法中获得全场最佳				5	0	712	0	10	0	0	2			40				
332				付费-使用任意机甲在虚拟对战玩法中获得全场最佳	7	任意机甲在虚拟对战玩法中获得全场最佳				5	0	120	0	10	0	0	2			40				
333	4		297,298,299	父-击杀目标	7					2	0	0	0	3	0	0	2			-1				
334	4		300,301,302	父-累计造成伤害	7					4	0	0	0	3	0	0	2			-1				
335	4		303,304,305	父-累计获得胜利	7					6	0	0	0	3	0	0	2			-1				
336	4		306,307,308	父-获得全场最佳	7					5	0	0	0	3	0	0	2			-1				
337	4		309,310,311	父-密斯之眼玩法中获得胜利	7					6	0	712	0	3	0	0	2			-1				
338	4		312,313,314	父-在密斯之眼玩法在获得全场最佳	7					5	0	712	0	3	0	0	2			-1				
339	4		315,316,317	父-虚拟对战玩法中获得胜利	7					6	0	120	0	3	0	0	2			-1				
340	4		318,319,320	父-在虚拟对战玩法在获得全场最佳	7					5	0	120	0	3	0	0	2			-1				
344				佣金任务：通缉	8	在玛什马克内造成40000伤害				4	0	0	0	40000	0	0	2			57			100	
345				佣金订单：护送	8	在限定时间300秒内，击坠3架敌方机甲				2	0	0	0	3	0	0	2	0	300	58			100	
347				佣金订单：保护	8	连续击坠3台机甲而自身未被击坠				15	0	0	3	1	0	0	2			58			100	
352		23		M4的1技能教学	5	使用流体护盾抵御敌方攻击，突破前方防线					0	0	0	3	0	0	2			-1				
353		23		M4的2技能教学	5	切换成“堡垒”形态，消灭前方敌人					0	0	0	3	0	0	2			-1				
354		23		M4的3技能教学	5	使用打击者榴弹炮歼灭前方敌人					0	0	0	3	0	0	2			-1				
355				佣金订单：占领	8	攻占指定位置的炮台				1	0	0	0	1	0	1	2			57			100	
356				佣金订单：探索	8	到达指定区域				1	0	0	0	1	0	1	2			57			100	
357				佣金订单：寻找	8	找到特定可交互Doodad				1	0	0	0	1	0	1	2			57			100	
358				佣金订单：采集	8	收集指定道具给对应Npc				1	0	0	0	1	0	1	2			57			100	
359				佣金订单：对话	8	和多个Npc进行对话				1	0	0	0	1	0	1	2			57			100	
360				佣金订单：防守	8	占领指定区域，并维持一定时间				1	0	0	0	1	0	1	2			57			100	
361				佣金订单：却敌	8	击杀指定数量的对应Npc				1	0	0	0	1	0	1	2			57			100	
362				佣金订单：实验	8	使用xx道具多少次				1	0	0	0	1	0	1	2			57			100	
363				佣金订单：拆迁	8	摧毁某块建筑				1	0	0	0	1	0	1	2			57			100	
493		23		M4击杀最终boss	5	击坠敌方的机甲					0	0	0	1	0	0	2			-1				
20000				初始徽章任务	6	欢迎来到Code Break				0	0	0	0	0	0	1	2			-1		110002		
20001				长空1	6	驾驶矛隼累计达成目标击坠数				2	10001	0	0	5	0	1	2			-1		100008		
20002				长空2	6	驾驶矛隼累计达成目标击坠数				2	10001	0	0	10	0	1	2			-1		100009		
20003				长空3	6	驾驶矛隼累计达成目标击坠数				2	10001	0	0	20	0	1	2			-1		100010		
20004				长空4	6	驾驶矛隼累计达成目标击坠数				2	10001	0	0	50	0	1	2			-1		100011		
20005				长空5	6	驾驶矛隼累计达成目标击坠数				2	10001	0	0	100	0	1	2			-1		100012		
20006				骑士1	6	驾驶恩赫里亚累计达成目标击坠数				2	10002	0	0	5	0	1	2			-1		100013		
20007				骑士2	6	驾驶恩赫里亚累计达成目标击坠数				2	10002	0	0	10	0	1	2			-1		100014		
20008				骑士3	6	驾驶恩赫里亚累计达成目标击坠数				2	10002	0	0	20	0	1	2			-1		100015		
20009				骑士4	6	驾驶恩赫里亚累计达成目标击坠数				2	10002	0	0	50	0	1	2			-1		100016		
20010				骑士5	6	驾驶恩赫里亚累计达成目标击坠数				2	10002	0	0	100	0	1	2			-1		100017		
20011				玄甲1	6	驾驶龙渊累计达成目标击坠数				2	10003	0	0	5	0	1	2			-1		100018		
20012				玄甲2	6	驾驶龙渊累计达成目标击坠数				2	10003	0	0	10	0	1	2			-1		100019		
20013				玄甲3	6	驾驶龙渊累计达成目标击坠数				2	10003	0	0	20	0	1	2			-1		100020		
20014				玄甲4	6	驾驶龙渊累计达成目标击坠数				2	10003	0	0	50	0	1	2			-1		100021		
20015				玄甲5	6	驾驶龙渊累计达成目标击坠数				2	10003	0	0	100	0	1	2			-1		100022		
20016				战车1	6	驾驶三角龙累计达成目标击坠数				2	10004	0	0	5	0	1	2			-1		100023		
20017				战车2	6	驾驶三角龙累计达成目标击坠数				2	10004	0	0	10	0	1	2			-1		100024		
20018				战车3	6	驾驶三角龙累计达成目标击坠数				2	10004	0	0	20	0	1	2			-1		100025		
20019				战车4	6	驾驶三角龙累计达成目标击坠数				2	10004	0	0	50	0	1	2			-1		100026		
20020				战车5	6	驾驶三角龙累计达成目标击坠数				2	10004	0	0	100	0	1	2			-1		100027		
20021				水月1	6	驾驶鸣神累计达成目标击坠数				2	10005	0	0	5	0	1	2			-1		100028		
20022				水月2	6	驾驶鸣神累计达成目标击坠数				2	10005	0	0	10	0	1	2			-1		100029		
20023				水月3	6	驾驶鸣神累计达成目标击坠数				2	10005	0	0	20	0	1	2			-1		100030		
20024				水月4	6	驾驶鸣神累计达成目标击坠数				2	10005	0	0	50	0	1	2			-1		100031		
20025				水月5	6	驾驶鸣神累计达成目标击坠数				2	10005	0	0	100	0	1	2			-1		100032		
20026				巨兽1	6	驾驶德拉姆累计达成目标击坠数				2	10009	0	0	5	0	1	2			-1		100033		
20027				巨兽2	6	驾驶德拉姆累计达成目标击坠数				2	10009	0	0	10	0	1	2			-1		100034		
20028				巨兽3	6	驾驶德拉姆累计达成目标击坠数				2	10009	0	0	20	0	1	2			-1		100035		
20029				巨兽4	6	驾驶德拉姆累计达成目标击坠数				2	10009	0	0	50	0	1	2			-1		100036		
20030				巨兽5	6	驾驶德拉姆累计达成目标击坠数				2	10009	0	0	100	0	1	2			-1		100037		
20031				两仪1	6	驾驶赤霄累计达成目标击坠数				2	10012	0	0	5	0	1	2			-1		100038		
20032				两仪2	6	驾驶赤霄累计达成目标击坠数				2	10012	0	0	10	0	1	2			-1		100039		
20033				两仪3	6	驾驶赤霄累计达成目标击坠数				2	10012	0	0	20	0	1	2			-1		100040		
20034				两仪4	6	驾驶赤霄累计达成目标击坠数				2	10012	0	0	50	0	1	2			-1		100041		
20035				两仪5	6	驾驶赤霄累计达成目标击坠数				2	10012	0	0	100	0	1	2			-1		100042		
21000				初始图案任务	6					0	0	0	0	0	0	1	2			-1		200006		
21001	1			密斯之眼	6						21002,21003	0	0	0	0	1	2			-1		200001		
21002				子-密斯之眼-获得胜利	6	在密斯之眼作战中获得胜利				6	0	10	0	5	0	1	2			-1				
21003				子-密斯之眼-获得全场最佳	6	于密斯之眼中赢得“全场最佳”评价				5	0	10	0	1	0	1	2			-1				
21004	1			喀拉欧布天坑	6						21005,21006	0	0	0	0	1	2			-1		200002		
21005				子-喀拉欧布天坑-获得胜利	6	在喀拉欧布天坑作战中获得胜利				6	0	3	0	5	0	1	2			-1				
21006				子-喀拉欧布天坑-获得全场最佳	6	于喀拉欧布天坑中赢得“全场最佳”评价				5	0	3	0	1	0	1	2			-1				
21007	1			提拉桑运输线	6						21008,21009	0	0	0	0	1	2			-1		200003		
21008				子-提拉桑运输线-获得胜利	6	在提拉桑运输线作战中获得胜利				6	0	11	0	5	0	1	2			-1				
21009				子-提拉桑运输线-获得全场最佳	6	于提拉桑运输线中赢得“全场最佳”评价				5	0	11	0	1	0	1	2			-1				
21010	1			布朗角天文台	6						21011,21012	0	0	0	0	1	2			-1		200004		
21011				子-布朗角天文台-获得胜利	6	在布朗角天文台作战中获得胜利				6	0	13	0	5	0	1	2			-1				
21012				子-布朗角天文台-获得全场最佳	6	于布朗角天文台中赢得“全场最佳”评价				5	0	13	0	1	0	1	2			-1				
21013	1			水星造船厂	6						21014,21015	0	0	0	0	1	2			-1		200005		
21014				子-水星造船厂-获得胜利	6	在水星造船厂作战中获得胜利				6	0	15	0	5	0	1	2			-1				
21015				子-水星造船厂-获得全场最佳	6	于水星造船厂中赢得“全场最佳”评价				5	0	15	0	1	0	1	2			-1				
22000				新人舰长	6	首次登录获取				0	0	0	0	0	0	1	2			-1		300001		
22001				奇迹之子	6	任意一次出击中，自身被击坠前累积击坠3名敌对玩家机甲。				15	0	0	3	1	0	1	2			-1		300002		
22002				王牌机师	6	任意一次出击中，自身被击坠前累积击坠5名敌对玩家机甲。				15	0	0	5	1	0	1	2			-1		300003		
22003				破局者	6	任意一次出击中，自身率先击坠敌对玩家机甲。				26	0	0	0	1	0	1	2			-1		300004		
22004				孤胆英雄	6	任意一次出击中，累计独自击坠3名敌对玩家机甲。				62	0	0	3	1	0	1	2			-1		300005		
22005				命定克星	6	任意一次出击中，累计击坠3次同一名敌对玩家机甲。				29	0	0	3	1	0	1	2			-1		300006		
22006				幻影对阵师	6	任意一次出击中，累计击坠15台敌方“鸣神”机甲释放的“水月”干扰无人机。				39	0	0	15	1	0	1	2			-1		300007		
22007				钢铁咆哮	6	任意一次出击中，累计对敌方玩家机甲造成120万的伤害。				7	0	0	1200000	1	0	1	2			-1		300008		
22008				战术格挡家	6	任意一次出击中，成功使用护盾武装弹开10次敌方玩家机甲的近战攻击。				35	0	0	10	1	0	1	2			-1		300009		
22009				格斗家	6	任意一次出击中，成功使用近战武装招架15次敌方玩家机甲的近战攻击。				36	0	0	15	1	0	1	2			-1		300010		
22010				精英僚机	6	任意一场竞技场模式对局中，累计完成8次助攻。				38	0	24,29	8	1	0	1	2			-1		300011		1
22011	2		220111,220112	战场主宰	6	任意一场竞技场模式对局中，自身包揽所有的击坠数并获得胜利。				0	0	0	0	1	0	1	2			-1		300012		
22012				哀悼者	6	任意一场竞技场模式对局中，累计击坠6名敌对玩家机甲。				8	0	24,29	6	1	0	1	2			-1		300013		1
22013				驱逐王	6	任意一场竞技场模式对局中，我方成功击坠所有场上的敌方玩家机甲。				43	0	24,29	0	1	0	1	2			-1		300014		1
22014				战局终结者	6	任意一场竞技场模式对局中，自身完成最后一击，使我方获得胜利。				64	0	24,29	0	1	0	1	2			-1		300015		1
22015	2		220151,220152	终局胜者	6	在任意一场竞技场模式对局的加时作战中获得胜利。				0	0	0	0	1	0	1	2			-1		300016		
22016				决胜先锋	6	在任意一场竞技场模式对局的加时作战中，由自身击坠2名敌对玩家机甲，使我方获得胜利。				65	0	24,29	0	1	0	1	2			-1		300017		1
22017	2		220171,220172	雷霆之师	6	任意一场竞技场模式对局中，我方在3分钟内获得胜利。					0	0	0	1	0	1	2			-1		300018		0
22018	2		220181,220182,220183	求生大师	6	任意一场竞技场模式对局中，在自身全程未被击坠的情况下获得胜利并赢得战斗勋章。				0	0	0	0	1	0	1	2			-1		300019		0
22019	2		220191,220192	完美收割者	6	任意一场竞技场模式对局中，在敌方1分未得的战况下获得胜利。				0	0	0	0	1	0	1	2			-1		300020		
22020	2		220201,220202	不屈勇者	6	任意一场竞技场模式对局中，在曾落后5分及以上的战况下反超敌方并获得胜利。				0	0	0	0	1	0	1	2			-1		300021		
22021	2		220211,220212	必胜先手	6	任意一场竞技场模式对局中，在全程分数领先的战况下获得胜利。				0	0	0	0	1	0	1	2			-1		300022		
22022				无尽怒涛	6	任意一场战场模式对局中，累计击坠10名敌对玩家机甲。				8	0	23,28	10	1	0	1	2			-1		300023		1
22023				无尽雷霆	6	任意一场战场模式对局中，累计击坠15名敌对玩家机甲。				8	0	23,28	15	1	0	1	2			-1		300024		1
22024				战争机器	6	任意一场战场模式对局中，我方成功击坠所有场上的敌方玩家机甲。				43	0	23,28	0	1	0	1	2			-1		300025		1
22025				战场清理者	6	任意一场战场模式对局中，自身击坠过每一名敌方玩家机甲。				56	0	23,28	1	1	0	1	2			-1		300026		1
22026				传奇机师	6	任意一场战场模式对局中，在被击坠前累积击坠10名敌对玩家机甲。				15	0	23,28	10	1	0	1	2			-1		300027		1
22027				最强僚机	6	任意一场战场模式对局中，累计完成20次助攻。				38	0	23,28	20	1	0	1	2			-1		300028		1
22028				胜利之星	6	通过竞技场或战场模式对局，连续获得3次“全场最佳”评价。				70	0	23,24,28,29	3	1	0	1	2			-1		300029		1
22029				胜仗专员	6	通过竞技场或战场模式对局，连续获得3次胜利。				71	0	23,24,28,29	3	1	0	1	2			-1		300030		1
22030				超级驾驶员	6	通过竞技场或战场模式对局，连续获得6次战斗勋章。				72	0	23,24,28,29	6	1	2	1	2			-1		300031		1
22031				战术执行官	6	在“密斯之眼”对局中，完整上传1次密钥。				73	0	10	0	1	0	1	2			-1		300032		
22032				战地双子星	6	在“密斯之眼”对局中，与队友同时进行密钥上传。				74	0	10	0	1	0	1	2			-1		300033		
22033	2		220331,220332	战斗信使	6	在“密斯之眼”对局中，自身累计上传密钥达到70分并获得最后胜利。				0	0	0	0	1	0	1	2			-1		300034		
22034				拦截者	6	在一场“密斯之眼”对局中，累计截断5次敌方玩家机甲的密钥上传。				17	0	10	5	1	0	1	2			-1		300035		
22035	2		220351,220352	最终赢家	6	在“密斯之眼”对局中，双方分差小于15分的战况下由我方获得最后胜利。				75	0	10	15	1	0	1	2			-1		300036		
22036				沙色三连星	6	在“密斯之眼”对局中，我方连续获得3次密钥且均成功开启上传。				76	0	10	3	1	0	1	2			-1		300037		
22037	2		220371,220372	天降之师	6	在“密斯之眼”对局中，在对手得分小于15分的战况下获得胜利。				0	0	0	0	1	0	1	2			-1		300038		
22038				征服者	6	在“克拉奥布天坑”对局中，我方成功接管所有据点。				77	0	32	0	1	0	1	2			-1		300039		
22039	2		220391,220392	不动之军	6	在“克拉奥布天坑”对局中，我方在接管据点小于10次的战况下获得胜利。				0	0	0	0	1	0	1	2			-1		300040		
22040	2		220401,220402	战阵之主	6	在“克拉奥布天坑”对局中，我方全程接管任一据点并获得最后胜利。				0	0	0	0	1	0	1	2			-1		300041		
22041	2		220411,220412	绝对掌控者	6	在“克拉奥布天坑”对局中，在对手未成功接管过任何一个据点的战况下获得胜利。				0	0	0	0	1	0	1	2			-1		300042		
22042				游击者	6	在一场“克拉奥布天坑”对局中，累计成功接管据点次数达到8次。				46	0	32	8	1	0	1	2			-1		300043		
22043				拯救者	6	在“布朗角天文台”对局中，自身成功拆除“特型尘屑散布器”，使我方获得胜利。				90	0	19	0	1	0	1	2			-1		300044		
22044				机动战术家	6	在“布朗角天文台”对局中，20秒内连续拆除2台“尘屑散布器”。				81	0	19	20	1	2	1	2			-1		300045		
22045				拆卸专家	6	在一场“布朗角天文台”对局中，累计成功拆除6台“尘屑散布器”或“特型尘屑散布器”。				47	0	19	6	1	0	1	2			-1		300046		
22046	2		220461,220462	尘屑清除者	6	在“布朗角天文台”对局中，在对手未拆除任何一个“尘屑散布器”或“特型尘屑散布器”的战况下获得胜利。				0	0	0	0	1	0	1	2			-1		300047		
22047	2		220471,220472	阵地守备者	6	在“水星造船厂”对局中，我方率先控制三个中转站并获得胜利。				0	0	0	0	1	0	1	2			-1		300048		
22048	2		220481,220482	路网掌控者	6	在“水星造船厂”对局中，在对手推进进度小于10%的战况下获得胜利。				0	0	0	0	1	0	1	2			-1		300049		
22049				列车长	6	在“水星造船厂”对局中，通过推进我方物资车或干扰敌方两种行为累计获得150分。				48	0	15	150	1	0	1	2			-1		300050		
22050				苍穹猎手	6	任意一次出击中，驾驶“矛隼”在“飞行器形态”结束前累计击坠3名敌对玩家机甲。				83	10001	0	3	1	0	1	2			-1		300051		
22051				侦查先锋	6	任意一次出击中，驾驶“矛隼”累计使用“全视之眼”探测并击坠5名隐形的敌对玩家机甲。				84	10001	0	5	1	0	1	2			-1		300052		
22052				维修专家	6	任意一次出击中，驾驶“矛隼”使用“啄木鸟”维修无人机累计修复15万点机甲耐久。				85	10001	0	150000	1	0	1	2			-1		300053		
22053				神之手	6	任意一次出击中，驾驶“鸣神”使用重离子炮武装同时击坠2名及以上敌对玩家机甲。				40	10005	0	2	1	10580103,114	1	2			-1		300054		
22054				外场游击手	6	任意一次出击中，驾驶“鸣神”击坠1000米之外的敌对玩家机甲。				37	10005	0	1000	1	0	1	2			-1		300055		
22055				魔弹射手	6	任意一次出击中，驾驶“鸣神”维持狙击模式连续10次射击均命中敌对玩家机甲。				86	10005	0	10	1	0	1	2			-1		300056		
22056				轻骑兵	6	任意一次出击中，驾驶“龙渊”以“武人”形态，在被击坠前累计击坠5名敌对玩家机甲。				87	10003	0	5	1	0	1	2			-1		300057		
100001	0			击杀10001	0	击杀敌方单位	通过匹配模式击杀敌方【10001】5次			2	0	0	10001	5	0	0	1			4				
100002	0			击杀赤霄	0	击杀敌方单位	通过匹配模式击杀敌方【赤霄】3次			2	0	0	10012	3	0	0	1			4				
100003	0			击杀敌对目标	0	击杀敌方单位	通过匹配模式击杀任意敌方5次			2	0	0	0	5	0	0	1			4				
100004	0			虚拟训练3v3中击杀目标	0	虚拟训练3v3击杀敌方单位	在虚拟训练3v3玩法中杀任意敌方5次			2	0	120	0	5	0	0	1			4				
100005	0			密斯之眼中击杀目标	0	密斯之眼击杀敌方单位	在密斯之眼玩法中杀任意敌方5次			2	0	712	0	5	0	0	1			4				
100006	0			密斯之眼中击杀目标	0	密斯之眼击杀敌方单位	在密斯之眼玩法中杀任意敌方5次	32		2	0	712	0	5	0	0	1			4				
100007	0			密斯之眼中击杀目标	0	密斯之眼击杀敌方单位	在密斯之眼玩法中杀任意敌方5次	32		2	0	712	0	5	0	0	1			4				
200001	0			驾驶【10001】击杀任意目标	1	驾驶【10001】击杀任意目标	驾驶【10001】击杀任意目标 5 次			2	10001	0	0	5	0	0	1			5				
200002	0			驾驶【10001】击杀敌方【鸣神】	1	驾驶【10001】击杀敌方【鸣神】	驾驶【10001】击杀敌方【鸣神】5次			2	10001	0	10005	5	0	0	1			5				
200003	0			驾驶【赤霄】在虚拟玩法中击杀【10001】	1	驾驶【赤霄】在虚拟玩法中击杀【10001】	驾驶【赤霄】在虚拟玩法中击杀【10001】5次			2	10012	120	10001	5	0	0	1			5				
220111		22011		获得全部人头	6					63	0	24,29	0	1	0					-1				1
220112		22011		获得胜利	6					6	0	24,29	0	1	0					-1				1
220151		22015		进入加时赛	6					57	0	24,29	0	1	0					-1				1
220152		22015		获得胜利	6					6	0	24,29	0	1	0					-1				1
220171		22017		3分钟内结束比赛	6					66	0	24,29	180	1	0	0	0			-1				1
220172		22017		获得胜利	6					6	0	24,29	0	1	0					-1				1
220181		22018		自身未被击坠	6					67	0	24,29	0	1	0					-1				1
220182		22018		获得胜利	6					6	0	24,29	0	1	0					-1				1
220183		22018		获得勋章	6					89	0	24,29	2	1	0					-1				1
