int	int	int	int[]	int[]	int[]
110009	10012	8		1,2,3,4,5	0,500,0,0,0
110009	10012	9		1,2,3,4,5	0,0,0,500,0
110009	10012	10		1,2,3,4,5	0,0,0,0,500
110012	10001	1		1,2,3,4,5	1000,4000,1000,2500,500
110012	10001	2		1,2,3,4,5	0,500,0,500,0
110012	10001	3		1,2,3,4,5	500,0,500,0,0
110012	10001	4		1,2,3,4,5	0,500,0,0,500
110012	10001	5		1,2,3,4,5	0,0,500,500,0
110012	10001	6		1,2,3,4,5	500,0,0,500,0
110012	10001	7		1,2,3,4,5	500,0,0,0,500
110012	10001	8		1,2,3,4,5	0,500,500,0,0
110012	10001	9		1,2,3,4,5	500,500,0,0,0
110012	10001	10		1,2,3,4,5	0,0,500,500,0
110012	10002	1		1,2,3,4,5	2000,6000,2000,4000,1000
110012	10002	2		1,2,3,4,5	500,500,0,0,0
110012	10002	3		1,2,3,4,5	500,0,500,0,0
110012	10002	4		1,2,3,4,5	500,0,0,500,0
110012	10002	5		1,2,3,4,5	500,0,0,0,500
110012	10002	6		1,2,3,4,5	0,500,500,0,0
110012	10002	7		1,2,3,4,5	0,500,0,500,0
110012	10002	8		1,2,3,4,5	0,500,0,0,500
110012	10002	9		1,2,3,4,5	0,0,500,500,0
110012	10002	10		1,2,3,4,5	0,0,500,500,0
110012	10003	1		1,2,3,4,5	1000,4000,1000,2500,500
110012	10003	2		1,2,3,4,5	0,0,500,500,0
110012	10003	3		1,2,3,4,5	0,500,500,0,0
110012	10003	4		1,2,3,4,5	500,500,0,0,0
110012	10003	5		1,2,3,4,5	500,0,0,0,500
110012	10003	6		1,2,3,4,5	500,0,500,0,0
110012	10003	7		1,2,3,4,5	0,500,0,0,500
110012	10003	8		1,2,3,4,5	0,0,500,500,0
110012	10003	9		1,2,3,4,5	500,0,0,500,0
110012	10003	10		1,2,3,4,5	0,500,0,500,0
110012	10004	1		1,2,3,4,5	1500,3000,1000,1500,500
110012	10004	2		1,2,3,4,5	500,0,0,0,0
110012	10004	3		1,2,3,4,5	0,500,0,0,0
110012	10004	4		1,2,3,4,5	0,0,500,0,0
110012	10004	5		1,2,3,4,5	0,0,0,500,0
110012	10004	6		1,2,3,4,5	0,0,0,500,0
110012	10004	7		1,2,3,4,5	0,0,500,0,0
110012	10004	8		1,2,3,4,5	0,500,0,0,0
110012	10004	9		1,2,3,4,5	0,0,0,500,0
110012	10004	10		1,2,3,4,5	0,0,0,0,500
110012	10005	1		1,2,3,4,5	1500,3000,1000,1500,500
110012	10005	2		1,2,3,4,5	0,0,500,0,0
110012	10005	3		1,2,3,4,5	0,500,0,0,0
110012	10005	4		1,2,3,4,5	0,0,500,0,0
110012	10005	5		1,2,3,4,5	0,0,0,500,0
110012	10005	6		1,2,3,4,5	0,0,0,500,0
110012	10005	7		1,2,3,4,5	500,0,0,0,0
110012	10005	8		1,2,3,4,5	0,500,0,0,0
110012	10005	9		1,2,3,4,5	0,0,0,500,0
110012	10005	10		1,2,3,4,5	0,0,0,0,500
110012	10009	1		1,2,3,4,5	1500,3000,1000,1500,500
110012	10009	2		1,2,3,4,5	0,0,500,0,0
110012	10009	3		1,2,3,4,5	0,500,0,0,0
110012	10009	4		1,2,3,4,5	0,0,500,0,0
110012	10009	5		1,2,3,4,5	0,0,0,500,0
110012	10009	6		1,2,3,4,5	0,0,0,500,0
110012	10009	7		1,2,3,4,5	500,0,0,0,0
110012	10009	8		1,2,3,4,5	0,500,0,0,0
110012	10009	9		1,2,3,4,5	0,0,0,500,0
110012	10009	10		1,2,3,4,5	0,0,0,0,500
110012	10012	1		1,2,3,4,5	1500,3000,1000,1500,500
110012	10012	2		1,2,3,4,5	0,0,500,0,0
110012	10012	3		1,2,3,4,5	0,500,0,0,0
110012	10012	4		1,2,3,4,5	0,0,500,0,0
110012	10012	5		1,2,3,4,5	0,0,0,500,0
110012	10012	6		1,2,3,4,5	0,0,0,500,0
110012	10012	7		1,2,3,4,5	500,0,0,0,0
110012	10012	8		1,2,3,4,5	0,500,0,0,0
110012	10012	9		1,2,3,4,5	0,0,0,500,0
110012	10012	10		1,2,3,4,5	0,0,0,0,500
