int	LangText	enum.ItemType	enum.ItemQuality	enum.BagType	bool	int	int	bool	float	int	float	float	DateTime	DateTime	bool	uint	uint[][]	float	float	ItemUse[].enum.EditorItemUseType	ItemUse[].string[]	enum.UseTargetType	int[]	enum.BindingType	bool	bool	int	int	float	bool	bool	bool	bool	int	bool	string	enum.BagJumpType	bool	bool	int	int	int[]	float	bool	int
100041121	增强解算单元“咆哮者”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20084					
100041131	大型弹箱“咆哮者”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20085					
100045111	加长身管“打击者”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20086					
100045121	增强解算单元“打击者”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20087					
100045131	重型榴弹弹匣“打击者”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20088					
100050101	零八式 长程射束炮“迅雷”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20089					
100050102	零九式 长程射束炮“电光”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20090					
100050201	零八式 长程射束炮“迅雷”狙击模式	5	1	0		1	9999	1	-1			-1										1		2	1		100													20091					
100050202	零九式 长程射束炮“电光”狙击模式	5	1	0		1	9999	1	-1			-1										1		2	1		100													20090					
100050301	零二式 干扰无人机“水月”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20092					
100050302	零一式 点防御无人机“朝露”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20093					
100050401	一六式 机动锚爪“疾风”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20094					
100050402	三二式 机雷锚爪“笼鸟”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20095					
100050403	一五式 脉冲机雷“天惊”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20096					
100050501	零七式 光学迷彩“镜花”	5	1	0		1	9999	1	-1			-1										1		2	1		100													20097					
100050601	头部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20025					
100050701	手臂1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20042					
100050801	身躯1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20026					
100050901	腿部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20043					
100051001	背部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20044					
100051111	收束身管“迅雷”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20098					
100051121	辅助火控单元“迅雷”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20099					
100051131	高容量电容“迅雷”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20100					
100051211	收束身管“电光”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20101					
100051221	辅助火控单元“电光”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20102					
100051231	高容量电容“电光”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20103					
100070101	“天光”能量炮	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20256					
100070102	刺杀利爪	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20029					
100070201	“焚风”同步锚爪	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20159					
100070202	“冰映光”脉冲锚爪	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20257					
100070301	“西蒙风”干扰烟幕散布器	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20160					
100070302	“电集流”干扰场发生器	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20029					
100070401	“气辉”同温层射束系统	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20158					
100070402	轨道炮·狙击	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20029					
100070501	“虹彩”支援推进翼	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20255					
100070502	“EIC”干扰器	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20029					
100070601	头部1	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20025					
100070701	手臂1	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20042					
100070801	身躯1	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20026					
100070901	腿部1	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20043					
100071001	背部1	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20044					
100090101	“双头魔犬”脉冲照射炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20104					
100090102	“涅索斯”离子爆破炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20105					
100090103	“拉冬”分束炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20106					
100090201	“双头魔犬”脉冲照射炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20107					
100090202	“涅索斯”离子爆破炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20108					
100090203	“拉冬”分束炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20109					
100090301	“斯库拉”点防御无人机	5	1	0		1	9999	1	-1			-1										1		2	1		100													20110					
100090302	“塞壬”点防御无人机	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20111					
100090401	“卡律布狄斯”炮台无人机	5	1	0		1	9999	1	-1			-1										1		2	1		100													20112					
100090402	“刻托”增幅单元	5	1	0	0	1	9999	1	-1			-1										1		2	1		100													20113					
100090403	“革律翁”诱饵无人机	5	1	0		1	9999	1	-1			-1										1		2	1		100				0		0							20148					
100090501	“百眼巨人”分束炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20114					
100090502	“百臂巨人”场反射无人机	5	1	0		1	9999	1	-1			-1										1		2	1		100													20115					
100090503	“戈尔贡”场反射无人机	5	1	0		1	9999	1	-1			-1										1		2	1		100													20116					
100090601	头部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20025					
100090701	手臂1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20042					
100090801	身躯1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20026					
100090901	腿部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20043					
100091001	背部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20044					
100091111	收束身管“双头魔犬”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20117					
100091121	增强解算单元“双头魔犬”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20118					
100091131	高容量电容“双头魔犬”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20119					
100092111	收束身管“双头魔犬”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20117					
100092121	增强解算单元“双头魔犬”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20118					
100092131	高容量电容“双头魔犬”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20119					
100094111	电荷补偿身管“百眼巨人”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20120					
100094121	辅助充能单元“百眼巨人”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20121					
100094131	大容量磁镜“百眼巨人”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20122					
100120101	“先锋”破障突击炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20123					
100120102	“惊涛”重型照射炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20124					
100120201	“摧星”感应战斧	5	1	0		1	9999	1	-1			-1										1		2	1		100													20125					
100120202	“先锋”破障突击炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20123					
100120203	“甲光”模块化护盾	5	1	0		1	9999	1	-1			-1										1		2	1		100													20126					
100120301	“织女”防御力场	5	1	0		1	9999	1	-1			-1										1		2	1		100													20127					
100120401	“箭雨”导弹荚舱	5	1	0		1	9999	1	-1			-1										1		2	1		100													20128					
100120402	“水渊”导弹荚舱	5	1	0		1	9999	1	-1			-1										1		2	1		100													20129					
100120403	“鸣弦”导弹荚舱	5	1	0		1	9999	1	-1			-1										1		2	1		100													20155					
100120501	“惊蛰”能量破坏炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20130					
100120502	“焚雷”电磁炮	5	1	0		1	9999	1	-1			-1										1		2	1		100													20131					
100120601	头部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20025					
100120701	手臂1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20042					
100120801	身躯1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20026					
100120901	腿部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20043					
100121001	背部1	5	1	0		1	9999	1	-1			-1										1		2	1		100													20044					
100121111	精密身管“先锋”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20132					
100121121	增强解算单元“先锋”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20133					
100121131	大型弹匣“先锋”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20134					
100122211	精密身管“先锋”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20132					
100122221	增强解算单元“先锋”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20133					
100122231	大型弹匣“先锋”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20134					
100124111	增强解算单元“箭雨”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20135					
100124121	辅助散热装置“箭雨”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20136					
100124131	高爆导弹弹箱“箭雨”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20137					
100125111	电荷补偿身管“惊蛰”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20138					
100125121	大容量磁镜“惊蛰”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20139					
100125131	辅助充能单元“惊蛰”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20140					
100125211	加长身管“焚雷”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20141					
100125221	高爆箭弹弹匣“焚雷”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20142					
100125231	辅助充能单元“焚雷”	3	1	1	0	1	1000	1	-1			-1								1		1		1	1		100													20143					
200000001	压测道具1	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000002	压测道具2	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000003	压测道具3	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000004	压测道具4	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000005	压测道具5	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000006	压测道具6	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000007	压测道具7	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000008	压测道具8	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000009	压测道具9	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000010	压测道具10	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000011	压测道具11	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000012	压测道具12	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000013	压测道具13	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000014	压测道具14	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000015	压测道具15	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000016	压测道具16	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000017	压测道具17	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000018	压测道具18	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000019	压测道具19	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000020	压测道具20	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000021	压测道具21	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000022	压测道具22	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000023	压测道具23	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000024	压测道具24	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000025	压测道具25	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000026	压测道具26	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000027	压测道具27	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000028	压测道具28	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000029	压测道具29	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000030	压测道具30	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000031	压测道具31	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000032	压测道具32	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000033	压测道具33	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000034	压测道具34	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000035	压测道具35	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000036	压测道具36	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000037	压测道具37	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000038	压测道具38	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000039	压测道具39	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000040	压测道具40	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000041	压测道具41	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000042	压测道具42	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000043	压测道具43	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000044	压测道具44	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000045	压测道具45	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000046	压测道具46	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000047	压测道具47	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000048	压测道具48	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000049	压测道具49	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000050	压测道具50	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000051	压测道具51	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000052	压测道具52	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000053	压测道具53	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000054	压测道具54	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000055	压测道具55	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000056	压测道具56	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000057	压测道具57	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000058	压测道具58	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000059	压测道具59	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000060	压测道具60	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000061	压测道具61	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000062	压测道具62	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000063	压测道具63	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000064	压测道具64	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000065	压测道具65	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000066	压测道具66	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000067	压测道具67	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000068	压测道具68	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000069	压测道具69	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000070	压测道具70	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000071	压测道具71	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000072	压测道具72	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000073	压测道具73	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000074	压测道具74	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000075	压测道具75	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000076	压测道具76	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000077	压测道具77	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000078	压测道具78	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000079	压测道具79	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000080	压测道具80	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000081	压测道具81	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000082	压测道具82	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000083	压测道具83	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000084	压测道具84	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000085	压测道具85	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000086	压测道具86	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000087	压测道具87	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000088	压测道具88	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000089	压测道具89	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000090	压测道具90	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000091	压测道具91	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000092	压测道具92	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000093	压测道具93	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000094	压测道具94	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000095	压测道具95	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000096	压测道具96	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000097	压测道具97	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000098	压测道具98	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000099	压测道具99	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
200000100	压测道具100	1	2	1	1	9999	9999	1	-1			-1								4	100	1		2	1		100				1									20002					
610040101	“先锋”破障突击炮	5	1	0		1	9999		-1			-1										1		2																20123					
610040201	“摧星”感应战斧	5	1	0		1	9999		-1			-1										1		2																20125					
610040301	“织女”电磁防御力场	5	1	0		1	9999		-1			-1										1		2																20127					
610040401	“箭雨”导弹荚舱	5	1	0		1	9999		-1			-1										1		2																20128					
610040501	“惊蛰”能量破坏炮	5	1	0		1	9999		-1			-1										1		2																20130					
610040601	头部1	5	1	0		1	9999		-1			-1										1		2																20025					
610040701	手臂1	5	1	0		1	9999		-1			-1										1		2																20042					
610040801	身躯1	5	1	0		1	9999		-1			-1										1		2																20026					
610040901	腿部1	5	1	0		1	9999		-1			-1										1		2																20043					
610041001	背部1	5	1	0		1	9999		-1			-1										1		2																20044					
610041002	佣金订单：护送	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1062					1	20029	20029				
610041003	佣金订单：保护	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1144					1	20029	20029				
610041004	佣金订单：占领	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1705					1	20029	20029				
610041005	佣金订单：探索	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1706					1	20029	20029				
610041006	佣金订单：寻找	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1707					1	20029	20029				
610041007	佣金订单：采集	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1708					1	20029	20029				
610041008	佣金订单：对话	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1709					1	20029	20029				
610041009	佣金订单：防守	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1710					1	20029	20029				
610041010	佣金订单：却敌	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1711					1	20029	20029				
610041011	佣金订单：实验	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1712					1	20029	20029				
610041012	佣金订单：拆迁	1	2	0	0	1	1	1	-1			-1			1							1		1							1			1713					1	20029	20029				
610041013	战术道具背包扩展	1	1	0	0	1	3	1	-1			-1			1					11	7,1	1		1							1			863					1	20026	20026				
