int	string	string	int	int[]	int[]	string	string	float	int	float	int	int	int	int	float	float	int	int	float	float	int	int	int	bool	int	int	bool	int	int	int	int	int	int	int	float	bool	float	float	float	int	int	int	int	int	int	bool	bool	bool	bool	int	int	int	Vector3	Rect[]	float	Vector3	float	int	int	float	string	int[]	float	float	float	float	float	float	float	Vector3[][]	bool	string	bool	MechaTagLevel[].int	MechaTagLevel[].int	string	bool	bool	string[]	int[]	enum.NpcType	bool	bool	float	bool	enum.TeammateLockShowMode	float	enum.EntranceType	float	float	Vector3	float	float	float	Vector3	int[]	float[]	bool	int	int	bool	bool	bool	enum.UnitInteractivityType
89	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门B2		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				498	1			0	False	1																		0
90	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门B3		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				499	1			0	False	1																		0
91	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门B4		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				500	1			0	False	1																		0
92	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门B5		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				501	1			0	False	1																		0
93	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6移动门B6		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				502	1			0	False	1																		0
94	Mecha/NPC/NH_M12/P_NH_M12View.model.asset	场景通用：大白		10	2	白霄		8	200000	0	0	1	0	0	0	0	0	0	0	0	0	0	0		10000	100		0	1	0	0	0	0	100	0		0	0	0	0	0	0	0	0	0					0	0	0	0_6.75_0	0_0_0_0	0	0_0_0	0	0	0		NPC/M12/M12_Main	0,1,2,3,4														Prefabs/Entity/NPC/NPC_P_NH_M12/NPC_P_NH_M12.prefab				664		1	1	0	False	1																		0
98	Mecha/NPC/6v6Defense_EnergyCube_Door.asset	6v6出生点地板		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_Door_Server.prefab				502	1			0	False	1																		0
101	Mecha/NPC/NH/QingJian.model.asset	天降EIC：轻剑		10	57			14	6000	0	3750	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_7.5_0	0_0_0_0	0	0_0_0	0	0	0		NPC/QingJian/FallBattle_QingJian_Main_Gun	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/QingJian/NPC_QingJian.prefab				882	4			0	False	2	7	1	200	1	0_600_0	0.9	80	2.625	0_-200_0									0
102	Mecha/NPC/NTI3/NTI3FView.model.asset	提拉桑运输线：EIC反应堆		10	2			21	2080000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_12_0	0_0_0_0	0	0_0_0	0	600	0		Level/ProSS_1/NPC/ProSS_NV4	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NTI3/NPC_NTI3F.prefab					2	1	1	0	False	2																		0
103	Mecha/NPC/6v6Defense_EnergyCube_MoveFloor.asset	6v6升降机A		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_MoveFloor_Server.prefab				599	1			0	False	1																		0
104	Mecha/NPC/6v6Defense_EnergyCube_MoveFloor.asset	6v6升降机B		10	26	归属		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_6v6Defense/NPC_6v6Defense_MoveFloor_Server.prefab				600	1			0	False	1																		0
105	Mecha/NPC/Push6v6_MiddlePlatform_ClientModel.model.asset	中间升降平台				推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/NPC_Push6v6_MiddlePlatform	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_MiddlePlatform_Server.prefab				609	1			0	False	1																		0
106		天降EIC：爆炸Npc		10	2	爆炸Npc		8	1500000	0	50000	0	0	0	0	0	0	0	1	3	0	3000	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/AirDropEic/NPC/NTI3G	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NTI3/NPC_NTI3G.prefab					1	1	1	0	False	1																		0
107	Mecha/NPC/NV4/NV4_1View.model.asset	提拉桑运输线：进攻方运载机		9,10	11,2			8	1500000	0	50000	0	0	0	0	0	0	0	1	3	0	3000	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NV4/NPC_NV4_1.prefab				714	1	0	0	0	False	1																		0
108	Mecha/NPC/NH/QingJian.model.asset	场景通用：轻剑		10	29	轻剑		8	40000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/NR2B/NR2B_V1	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NR2B/NPC_NR2B.prefab				610180206		0		0	False	1																		0
109	Mecha/NPC/Push6v6/Animation_Vehicle_A_01View.model.asset	实例化推车-阵营1		10,25,12	26,7,1	阵营1推车		8	50000	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/BT_Push6v6_PushCar	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				805,191	1			0	True	1																		0
110	Mecha/NPC/Push6v6/Animation_Vehicle_A_01View.model.asset	实例化推车-阵营2		10,25,12	26,7,1	阵营2推车		8	50000	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/BT_Push6v6_PushCar	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_Truck_Server_01.prefab				806,192	1			0	True	1																		0
111	Mecha/NPC/NR2/NR2A_Body_1_SkinView.model.asset	提拉桑运输线：铜斑蛇导弹版		10	29			12	6000	0	3750	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.5_0	0_0_0_0	0	0_0_0	0	0	0		NPC/NR2B/ProSS_NR2B_Artillery	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NR2B/NPC_NR2B.prefab				610180206	4			0	False	1	5	1	200	0.5	0_560_0	0.9	80	0.667	0_-800_0									0
112	Mecha/NPC/UrbanTank/UrbanTankView.model.asset	提拉桑运输线：进攻方乌尔班坦克		10	45			5.5	15000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_3_0	0_0_0_0	0	0_0_0	0	0	0		NPC/UrbanTank/ProSS_UrbanTank_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NV1/UrbanTank.prefab					4			0	False	2																		0
114	Mecha/NPC/Push6v6_UpPlatform_ClientModel.model.asset	实例化推车-初始升降平台				推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/BT_Push6v6_UpPlatform	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_UpPlatform_Server.prefab				831	1			0	True	1																		0
115	Mecha/NPC/Push6v6_BornDoor1_ClientModel.model.asset	实例化推车-初始门				推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/BT_Push6v6_BornDoor	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_BornDoor1_Server.prefab				832	1			0	True	1																		0
116	Mecha/NPC/Push6v6_MiddlePlatform1_ClientModel.model.asset	实例化推车-中间升降平台				推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/BT_Push6v6_MiddlePlatform	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_MiddlePlatform1_Server.prefab				837	1			0	True	1																		0
117	Mecha/NPC/NH/QingJian.model.asset	长列车护卫队：轻剑		10	39			14	25000	0	10000	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/QingJian/ProSS_QingJian_Main_Gun	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/QingJian/NPC_QingJian.prefab				610180206	4			0	False	1	5	1	30	1	0_530_0	0.2	20	2	0_2_0									0
118	Mecha/NPC/WuRen/WuRen_1View.model.asset	武人		10	59	武人		13	25000	0	10000	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_7_0	0_0_0_0	0	0_0_0	0	0	0		NPC/QingJian/ProSS_QingJian_Main_Gun	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NPC_P_NH_M12/NPC_WuRen.prefab				1906	4			0	False	1																		0
119	Mecha/NPC/NH_M12/P_NH_M12View.model.asset	玛什马克：精英机甲		10	2	白霄		8	100000	0	0	1	0	0	0	0	0	0	0	0	0	0	0		10000	100		0	1	0	0	0	0	100	60		0	0	0	0	0	0	0	0	0					0	0	0	0_6.75_0	0_0_0_0	0	0_0_0	0	0	0		NPC/M12/M12_Main	0,1,2,3,4														Prefabs/Entity/NPC/NPC_P_NH_M12/NPC_P_NH_M12.prefab				664	3	1	1	0	False	2																		0
120	Mecha/NPC/UrbanTank/UrbanTankView.model.asset	玛什马克：天启坦克		10	45	乌尔班坦克	OrbanTank	5.5	15000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_3_0	0_0_0_0	0	0_0_0	0	0	0		NPC/UrbanTank/MSMK_UrbanTank_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NV1/UrbanTank.prefab					4			0	False	2																		0
121	Mecha/NPC/NH/QingJian.model.asset	玛什马克：轻剑		10	39	轻剑		12	12500	0	5000	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/QingJian/MSMK_QingJian_Main_Gun	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/QingJian/NPC_QingJian.prefab				610180206	4			0	False	2	5	1	200	1	0_560_0	0.9	80	2.625	0_-200_0									0
122	Mecha/NPC/MechaDog/MechaDogView.model.asset	狗狗1号		10	41	机械狗		8	500000	0	50000	0	0	0	0	0	0	0	1	3	0	3000	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	0	0	0	0	0	0	0_6_0	0_0_0_0	0	0_0_0	0	0	0		Level/Fortress/NPC/Dog/AIMain	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/MechaDog/NPC_MechaDog.prefab				919,1201	4	1	1	0	False	1																		0
123	Mecha/NPC/MechaDog/MechaDogView.model.asset	狗狗2号		10	41	机械狗		8	500000	0	50000	0	0	0	0	0	0	0	1	3	0	3000	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	0	0	0	0	0	0	0_6_0	0_0_0_0	0	0_0_0	0	0	0		Level/Fortress/NPC/Dog/AIMain	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/MechaDog/NPC_MechaDog.prefab				920,1201	4	1	1	0	False	1																		0
124	Mecha/NPC/MechaDog/MechaDogView.model.asset	狗狗3号		10	41	机械狗		8	500000	0	50000	0	0	0	0	0	0	0	1	3	0	3000	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	0	0	0	0	0	0	0_6_0	0_0_0_0	0	0_0_0	0	0	0		Level/Fortress/NPC/Dog/AIMain	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/MechaDog/NPC_MechaDog.prefab				921,1201	4	1	1	0	False	1																		0
125	Mecha/NPC/MechaDog/MechaDogView.model.asset	狗狗4号		10	41	机械狗		8	500000	0	50000	0	0	0	0	0	0	0	1	3	0	3000	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	0	0	0	0	0	0	0_6_0	0_0_0_0	0	0_0_0	0	0	0		Level/Fortress/NPC/Dog/AIMain	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/MechaDog/NPC_MechaDog.prefab				922,1201	4	1	1	0	False	1																		0
126	Mecha/NPC/NTI3/NTI3GView.model.asset	门1		10	42	左门		8	750000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	0	0	0	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/ProSS_1/NPC/ProSS_NV4	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NTI3/NPC_NTI3H.prefab				919	4	1	1	0	False	1																		0
127	Mecha/NPC/NTI3/NTI3GView.model.asset	门2		10	42	右门		8	750000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	0	0	0	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/ProSS_1/NPC/ProSS_NV4	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NTI3/NPC_NTI3H.prefab				919	4	1	1	0	False	1																		0
128	Mecha/NPC/NTI3/NTI3FView.model.asset	核心		10	42	核心		8	1500000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	3		0.1	3		0	0	0	0	0	0	1	0	0	0	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/ProSS_1/NPC/ProSS_NV4	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NTI3/NPC_NTI3F.prefab				919	4	1	1	0	False	1																		0
129	Mecha/NPC/NT1/NT2_1_ModelView.model.asset	密斯之眼：苍雷激光炮		10	34			9	15000	0	0	0	0	0	0	0	0	0	0	3	0	0	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_8_0	0_0_0_0	0	0_0_0	0	0	0		NPC/NT/Cairo_NT2_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_NT2.prefab				135	4	1	1	0	False	2																		0
130	Mecha/NPC/M5_Sp2_Cg1_NPC/P_M5_ShoulderCage_2_Missile_VariantView.model.asset	鸣神特武2换装1_抓人绳索		10,24,25	35,16,8			0	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0		1	1	1	0	0	0			0		0	0	0		SkillNPC/M5_Sp2_Cg1															Prefabs/Entity/NPC/M5_Sp2_Cg1_NPC/NPC_M5_Sp2_Cg1_NPC_PhysicsModel.prefab	0			980,1160,733,1203,1621	5			0	True	0																		1
131	Mecha/NPC/Push6v6_ZhaKou_ClientModel.model.asset	水星造船厂-A点闸口				推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/BT_Push6v6_ZhaKou	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_ZhaKou_Server.prefab				1012	1			0	True	1																		0
132	Mecha/NPC/SiZu/SiZu.model.asset	玛什马克：四足-200m		10	43	四足		8	1000000	0	1	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/SiZu/MSMK_SiZu_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/SiZu/NPC_SiZu.prefab				1018	2			0	False	2																		0
133	Mecha/NPC/NT1/ProSS_NTView.model.asset	提拉桑运输线：防御炮台B		10	2			18	630000	0	150000	0	0	0	0	0	0	0	0	3	0	3500	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_9_0	0_0_0_0	0	0_0_0	0	600	0		NPC/NT/ProSS_NT_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_ProSS_NT1.prefab				331	3	1	1	0	False	2																		0
134	Mecha/NPC/NT1/ProSS_NTView.model.asset	提拉桑运输线：防御炮台C		10	2			18	630000	0	150000	0	0	0	0	0	0	0	0	3	0	3500	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1		0	0	0	0	0	0					0	0	0	0_9_0	0_0_0_0	0	0_0_0	0	600	0		NPC/NT/ProSS_NT_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/NT/NPC_ProSS_NT1.prefab				331	3	1	1	0	False	2																		0
135	Mecha/NPC/SiZu/SiZu_120.model.asset	玛什马克：四足-120m		10	43	四足		8	1000000	0	1	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/SiZu/MSMK_SiZu_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/SiZu/NPC_SiZu_120.prefab				1077	2			0	False	2																		0
136	Mecha/NPC/SiZu/SiZu_80.model.asset	玛什马克：四足-80m		10	43	四足		8	1000000	0	1	0	0	0	1	0	0	0	0.5	3	0	1000	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0					0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/SiZu/MSMK_SiZu_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/SiZu/NPC_SiZu_80.prefab				1075	2			0	False	2																		0
137	Mecha/NPC/NH_M12/P_NH_M12View_30.model.asset	玛什马克：精英机甲-30m		10	2	白霄		8	100000	0	0	1	0	0	0	0	0	0	0	0	0	0	0		10000	100		0	1	0	0	0	0	100	60		0	0	0	0	0	0	0	0	0					0	0	0	0_6.75_0	0_0_0_0	0	0_0_0	0	0	0		NPC/M12/M12_Main	0,1,2,3,4														Prefabs/Entity/NPC/NPC_P_NH_M12/NPC_P_NH_M12_30.prefab				664	3	1	1	0	False	2																		0
138	Mecha/NPC/NH_M12/P_NH_M12View_50.model.asset	玛什马克：精英机甲-50m		10	2	白霄		8	100000	0	0	1	0	0	0	0	0	0	0	0	0	0	0		10000	100		0	1	0	0	0	0	100	60		0	0	0	0	0	0	0	0	0					0	0	0	0_6.75_0	0_0_0_0	0	0_0_0	0	0	0		NPC/M12/M12_Main	0,1,2,3,4														Prefabs/Entity/NPC/NPC_P_NH_M12/NPC_P_NH_M12_50.prefab				664	3	1	1	0	False	2																		0
139	Mecha/NPC/Push6v6_YuanZhu_ClientModel.model.asset	水星造船厂-占领点升降柱				推车		8	999999999	0	0	0	0	0	0	0	0	0	0		0	0	0		2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push6v6/BT_Push6v6_YuanZhu	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NPC_Push6v6_Truck/NPC_Push6v6_YuanZhu_Server.prefab				1058	1			0	True	1																		0
140		德拉姆特武3换装1_炮台攻击无人机A		10	50			0	999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0		1	1	1	0	0	0			0		0	0	0		SkillNPC/M9_Sp3_Cg1																1			1067,1163,1325	5			0	True	0																		0
143	Mecha/NPC/NH/QingJian.model.asset	柯斯托克兵工厂：炮兵		10	46			12	50000	0	2000	0	0	0	1	0	0	0	0.5	3	0	500	0		0	0	1	0	0	0	0	0	0	0	1		0.1	1	0.5	0	0	0	0	0	0				1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		NPC/PaoBing_Test/OLT_PaoBing_Main	0,1,2,3,4	0	0	0	0	0	0	0							Prefabs/Entity/NPC/QingJian/NPC_QingJian.prefab				1260	4			0	False	1																		0
144		德拉姆特武3_折射无人机		10	35			0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0		0	1	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0					0	0	0	0_0_0	0_0_0_0	0	0_0_0	0	0	0			0,1,2,3,4														Prefabs/Entity/Mecha/M9/M9_UavDoodad.prefab	0			1202		1	1	0		0																		0
145	Mecha/NPC/NH_M12/BaiXiao_36_Test.model.asset	白霄-36		10	2	白霄		8	200000	0	0	1	0	0	0	0	0	0	0	0	0	0	0		10000	100		0	1	0	0	0	0	100	0		0	0	0	0	0	0	0	0	0					0	0	0	0_6.75_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4														Prefabs/Entity/NPC/NPC_P_NH_M12/NPC_BaiXiao_36_Test.prefab				664	3	1	1	0	False	1																		0
146	Mecha/NPC/NH_M12/BaiXiao_48_Test.model.asset	白霄-48		10	2	白霄		8	200000	0	0	1	0	0	0	0	0	0	0	0	0	0	0		10000	100		0	1	0	0	0	0	100	0		0	0	0	0	0	0	0	0	0					0	0	0	0_6.75_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4														Prefabs/Entity/NPC/NPC_P_NH_M12/NPC_BaiXiao_48_Test.prefab				664	3	1	1	0	False	1																		0
147	Mecha/NPC/NH_M12/BaiXiao_60_Test.model.asset	白霄-60		10	2	白霄		8	200000	0	0	1	0	0	0	0	0	0	0	0	0	0	0		10000	100		0	1	0	0	0	0	100	0		0	0	0	0	0	0	0	0	0					0	0	0	0_6.75_0	0_0_0_0	0	0_0_0	0	0	0		NPC/Common/EmptyNPC/EmptyNPC	0,1,2,3,4														Prefabs/Entity/NPC/NPC_P_NH_M12/NPC_BaiXiao_60_Test.prefab				664	3	1	1	0	False	1																		0
148	Mecha/NPC/NTI3/NTI3CView_bigworld.model.asset	测试推车		10	2	推车		8	50000	0	0	0	0	0	0	0	0	0	0		0	0	0	1	2000000	200000	1	0	10000	133	0	0		0			0.1	2	0	0	0	0	0	0	0		1	1	1	0	0	0	0_6.3875_0	0_0_0_0	0	0_0_0	0	0	0		Level/Push3v3/PushCar_Test	0,1,2,3,4	0	0	150	0	0	0	0							Prefabs/Entity/NPC/NTI3/NPC_NTI3C_bigworld.prefab				1206	1		1	0	False	2																		0
