int	string	string	string	string	string	string	string	bool	int	int	bool	float	string	string	uint	bool	int
11210501	页签名	“先锋”破障突击炮	“先锋”破障突击炮	先锋	破障突击炮	高伤害的大口径榴弹炮，发射高爆弹轰击目标。	火炮 | 爆破	true	30072	0	1	0	“先锋”破障突击炮	高伤害的大口径榴弹炮，发射高爆弹轰击目标。	0	0	30072
11210801										0	1	0	“先锋”破障突击炮	高伤害的大口径榴弹炮，发射高爆弹轰击目标。	0	0	30072
11210901										0	0	0	换装测试用激光炮		0	0	30049
11220901										0	0	0	换装测试用近战1		0	0	30014
11220902										0	0	0	换装测试用近战2		0	0	30014
11230201										0	0	0			0	0	30081
11240901	页签名	“水渊”导弹荚舱	“水渊”导弹荚舱	水渊	导弹荚舱	对锁定目标连续发射大量小型高爆导弹。	火箭动力 | 爆破	true	30073	0	1	0	“水渊”导弹荚舱	对锁定目标连续发射大量小型高爆导弹。	0	0	30073
11250901	页签名	“焚雷”电磁炮	“焚雷”电磁炮	焚雷	电磁炮	高伤害、强冲击力的电磁炮。	电磁炮 | 爆破	true	30077	0	1	0	“焚雷”电磁炮	高伤害、强冲击力的电磁炮。	0	0	30077
14410101	页签名	“咆哮者”转管机炮	“咆哮者”转管机炮	咆哮者	转管机炮	高射速的实弹转管机炮，亦可拦截敌方导弹。	火炮 | 实弹	true	30041	0	1	0	“咆哮者”转管机炮	高射速的实弹转管机炮，亦可拦截敌方导弹。	0	0	30041
14410104										0	0	0			0	0	30041
14420102	能量拦截器	“守门员”能量拦截器	“守门员”能量拦截器	守门员	能量拦截器	高度自动化的能量近防炮，能够自主拦截来袭导弹和火箭弹。	战术变形 | 器材	false		0	0	0	“守门员”能量拦截器	高度自动化的能量近防炮，能够自主拦截来袭导弹和火箭弹。	0	0	30098
14420201	页签名	“守护者”模块化流体护盾	“守护者”模块化流体护盾	守护者	模块化流体护盾	展开盾牌防御前方攻击，盾牌收起时重新充能。战术变形启动后加强为全向防御。	护盾 | 能量	true	30043	0	1	0	“守护者”模块化流体护盾	展开盾牌防御前方攻击，盾牌收起时重新充能。战术变形启动后加强为全向防御。	0	0	30043
14480101	页签名	“清道夫”多弹头导弹	“清道夫”多弹头导弹	清道夫	多弹头导弹	发射多锁导弹，抛洒大量分导高爆弹头，分别攻击各个目标。	火箭动力 | 爆破	true	30042	0	1	0	“清道夫”多弹头导弹	发射多锁导弹，抛洒大量分导高爆弹头，分别攻击各个目标。	0	0	30042
14480201	战术变形	“堡垒”战术变形系统	“堡垒”战术变形系统	堡垒	战术变形系统	转换为堡垒形态，启动拦截器，提升射击与防御能力。	战术变形 | 器材	true	30046	0	1	0	“堡垒”战术变形系统	转换为堡垒形态，启动拦截器，提升射击与防御能力。	14420102	1	30046
18210101	页签名	“惊蛰”能量破坏炮	“惊蛰”能量破坏炮	惊蛰	能量破坏炮	持续攻击目标的重离子照射炮，破坏力随照射时间迅速放大。	重离子炮 | 能量	true	30071	0	1	20	“惊蛰”能量破坏炮	持续攻击目标的重离子照射炮，破坏力随照射时间迅速放大。	0	0	30071
18220101	页签名	“织女”防御力场	“织女”防御力场	织女	电磁防御力场	展开力场护盾，抵御大部分远程武器的攻击。	护盾 | 能量	true	30074	0	1	15	“织女”防御力场	展开力场护盾，抵御大部分远程武器的攻击。	0	0	30074
18230101	页签名	“箭雨”导弹荚舱	“箭雨”导弹荚舱	箭雨	导弹荚舱	发射多锁导弹，每颗高爆导弹分别攻击各个目标。	火箭动力 | 爆破	true	30075	12001	1	0	“箭雨”导弹荚舱	发射多锁导弹，每颗高爆导弹分别攻击各个目标。	0	0	30075
19980101										0	0	0	换装测试用立场爆发		0	0	30043
19980201										0	0	0	大红替换5连飞弹		0	0	30006
19980205										0	0	0	大红多锁飞弹		0	0	30075
19980206										0	0	0	换装测试用移动激光		0	0	30053
