int	string	uint	uint	string	string
1169	Intel Xeon Platinum 8259CL @ 2.50GHz	33279	1931	台式机	intel xeon platinum 8255c
1170	AMD EPYC 3201	10258	1928	台式机	amd epyc 3201
1171	AMD Ryzen 5 3450U	6782	1928	笔记本	amd ryzen 5 3450u
1172	Intel Core i3-8130U @ 2.20GHz	3626	1928	笔记本	intel core i3-8130u
1173	Intel Core i7-4578U @ 3.00GHz	3031	1927	笔记本	intel core i7-4578u
1174	AMD EPYC 7501	24925	1925	台式机	amd epyc 7501
1175	Intel Core i3-4150 @ 3.50GHz	3353	1925	台式机	intel core i3-4150
1176	Intel Core i3-4360T @ 3.20GHz	3393	1923	台式机	intel core i3-4360t
1177	Intel Core i5-4690T @ 2.50GHz	4660	1922	台式机	intel core i5-4690t
1178	Intel Xeon X5698 @ 4.40GHz	3447	1922	台式机	intel xeon x5698
1179	AMD EPYC 7R32	64727	1922	台式机	amd epyc 7r32
1180	AMD EPYC 7551P	43437	1921	台式机	amd epyc 7551p
1181	Intel Core i5-8250U @ 1.60GHz	5910	1920	笔记本	intel core i5-8250u
1182	Intel Core i7-3920XM @ 2.90GHz	5781	1920	笔记本	intel core i7-3920xm
1183	Intel Core i3-8100T @ 3.10GHz	5290	1919	台式机	intel core i3-8100t
1184	AMD Ryzen 3 2200GE	6031	1917	台式机	amd ryzen 3 2200ge
1185	Intel Core i7-5650U @ 2.20GHz	3029	1914	笔记本	intel core i7-5650u
1186	Intel Core i7-6700HQ @ 2.60GHz	6523	1914	笔记本	intel core i7-6700hq
1187	AMD Athlon PRO 300GE	4432	1913	台式机	amd athlon pro 300ge
1188	Intel Pentium G3430 @ 3.30GHz	2127	1912	台式机	intel pentium g3430
1189	Intel Core i3-4370T @ 3.30GHz	3361	1911	台式机	intel core i3-4370t
1190	Intel Xeon E5-2687W v3 @ 3.10GHz	14784	1911	台式机	intel xeon e5-2687w v3
1191	Intel Xeon E5-2690 v3 @ 2.60GHz	16394	1911	台式机	intel xeon e5-2690 v3
1192	Intel Core i7-3820QM @ 2.70GHz	5771	1910	笔记本	intel core i7-3820qm
1193	Intel Xeon E5-2686 v3 @ 2.00GHz	18148	1910	台式机	intel xeon e5-2686 v3
1194	Intel Xeon E5-2695 v4 @ 2.10GHz	19656	1909	台式机	intel xeon e5-2695 v4
1195	"Qualcomm Technologies, Inc SM8150P"	4446	1908	台式机	"qualcomm technologies, inc sm8150p"
1196	Intel Core i7-1060NG7 @ 1.20GHz	6945	1907	笔记本	intel core i7-1060ng7
1197	Intel Xeon E3-1240L v5 @ 2.10GHz	6173	1906	台式机	intel xeon e3-1240l v5
1198	Intel Xeon E5-1607 v4 @ 3.10GHz	5245	1905	台式机	intel xeon e5-1607 v4
1199	Intel Core i7-4770T @ 2.50GHz	5873	1904	台式机	intel core i7-4770t
1200	Intel Core i7-4710MQ @ 2.50GHz	5862	1903	笔记本	intel core i7-4710mq
1201	Intel Xeon Platinum 8175M @ 2.50GHz	26659	1903	台式机	intel xeon platinum 8175m
1202	Intel Core i5-4460 @ 3.20GHz	4845	1902	台式机	intel core i5-4460
1203	Intel Core i3-4350 @ 3.60GHz	3459	1902	台式机	intel core i3-4350
1204	Intel Celeron G4900 @ 3.10GHz	2437	1902	台式机	intel celeron g4900
1205	MT6893	5102	1902	台式机	mt6893
1206	Intel Core i5-4460 @ 3.20GHz	4845	1902	台式机	intel core i5-4?60
1207	Intel Core i5-4460 @ 3.20GHz	4845	1902	台式机	intel core i5-4460 cp?
1208	AMD Ryzen 5 1400	7770	1899	台式机	amd ryzen 5 1400
1209	Intel Core i7-3770T @ 2.50GHz	5546	1897	台式机	intel core i7-3770t
1210	Intel Pentium G3440 @ 3.30GHz	2129	1895	台式机	intel pentium g3440
1211	Intel Core i5-3470S @ 2.90GHz	4371	1895	台式机	intel core i5-3470s
1212	AMD EPYC 7502P	48995	1894	台式机	amd epyc 7502p
1213	Intel Xeon E3-1220 V2 @ 3.10GHz	4698	1892	台式机	intel xeon e3-1220 v2
1214	Intel Xeon E3-1220 V2 @ 3.10GHz	4698	1892	台式机	intel xeon e3-12xx v2
1215	Intel Core i5-4570T @ 2.90GHz	3164	1891	台式机	intel core i5-4570t
1216	AMD Ryzen Embedded R1606G	4186	1890	台式机	amd ryzen embedded r1606g
1217	Intel Core i3-4130 @ 3.40GHz	3300	1890	台式机	intel core i3-4130
1218	"lisa based Qualcomm Technologies, Inc. SM7325"	5479	1890	台式机	"lisa based qualcomm technologies, inc. sm7325"
1219	AMD Ryzen 3 3300U	5765	1888	笔记本	amd ryzen 3 3300u
1220	AMD Ryzen 3 3300U	5765	1888	笔记本	amd ryzen 3 3300u with radeon vega mobile gfx
1221	Intel Xeon E5-2643 v2 @ 3.50GHz	9134	1884	台式机	intel xeon e5-2643 v2
1222	Intel Xeon W-2104 @ 3.20GHz	5878	1884	台式机	intel xeon w-2104
1223	Intel Core i3-6100T @ 3.20GHz	3615	1883	台式机	intel core i3-6100t
1224	Intel Xeon E5-2637 v2 @ 3.50GHz	6371	1883	台式机	intel xeon e5-2637 v2
1225	Intel Xeon Gold 6252 @ 2.10GHz	27148	1883	台式机	intel xeon gold 6252
1226	AMD Athlon 300GE	4308	1882	台式机	amd athlon 300ge
1227	AMD Ryzen 3 3250C	3044	1882	笔记本	amd ryzen 3 3250c
1228	Intel Core i7-4860HQ @ 2.40GHz	6150	1881	笔记本	intel core i7-4860hq
1229	Intel Core i7-3740QM @ 2.70GHz	5715	1880	笔记本	intel core i7-3740qm
1230	Intel Xeon E5-2640 v3 @ 2.60GHz	11313	1878	台式机	intel xeon e5-2640 v3
1231	"Haydn based on Qualcomm Technologies, Inc SM8350"	5288	1877	台式机	"haydn based on qualcomm technologies, inc sm8350"
1232	Intel Xeon E5-2680R v4 @ 2.40GHz	16865	1877	台式机	intel xeon e5-2680r v4
1233	AMD Athlon 320GE	4285	1876	台式机	amd athlon 320ge
1234	Intel Xeon D-1622 @ 2.60GHz	6205	1875	台式机	intel xeon d-1622
1235	Intel Xeon E3-1205 v6 @ 3.00GHz	5682	1875	台式机	intel xeon e3-1205 v6
1236	Intel Xeon E5-2690 v2 @ 3.00GHz	13468	1875	台式机	intel xeon e5-2690 v2
1237	Intel Core i5-6267U @ 2.90GHz	3486	1873	笔记本	intel core i5-6267u
1238	Intel Xeon E5-2623 v3 @ 3.00GHz	6866	1873	台式机	intel xeon e5-2623 v3
1239	AMD EPYC 3251	13965	1872	台式机	amd epyc 3251
1240	Intel Xeon E5-2618L v3 @ 2.30GHz	10464	1872	台式机	intel xeon e5-2618l v3
1241	Intel Xeon E5-2682 v4 @ 2.50GHz	19702	1871	台式机	intel xeon e5-2682 v4
1242	Intel Core i5-4308U @ 2.80GHz	3018	1869	笔记本	intel core i5-4308u
1243	"Qualcomm Technologies, Inc SDM750G"	4350	1869	台式机	"qualcomm technologies, inc sdm750g"
1244	Intel Core i7-4720HQ @ 2.60GHz	5743	1869	笔记本	intel core i7-4720hq
1245	Intel Core i5-3450 @ 3.10GHz	4460	1869	台式机	intel core i5-3450
1246	Intel Core i5-5257U @ 2.70GHz	3042	1868	笔记本	intel core i5-5257u
1247	Intel Core i7-3720QM @ 2.60GHz	5675	1868	笔记本	intel core i7-3720qm
1248	Intel Pentium G3450 @ 3.40GHz	2142	1868	台式机	intel pentium g3450
1249	AMD Ryzen Embedded R2312	3720	1867	台式机	amd ryzen embedded r2312
1250	Intel Pentium G4500T @ 3.00GHz	2378	1867	台式机	intel pentium g4500t
1251	Intel Core i3-1000NG4 @ 1.10GHz	3802	1867	笔记本	intel core i3-1000ng4
1252	Intel Xeon Gold 5215 @ 2.50GHz	15420	1866	台式机	intel xeon gold 5215
1253	AMD Ryzen 3 PRO 2300U	5977	1863	笔记本	amd ryzen 3 pro 2300u
1254	AMD Ryzen 3 PRO 2300U	5977	1863	笔记本	amd ryzen 3 pro 2300u w/ radeon vega mobile gfx
1255	Intel Pentium G3258 @ 3.20GHz	2080	1861	台式机	intel pentium g3258
1256	vendor Kirin985	5417	1861	台式机	vendor kirin985
1257	AMD Ryzen Embedded R1505G	3922	1860	笔记本	amd ryzen embedded r1505g
1258	Intel Core i7-4558U @ 2.80GHz	3032	1860	笔记本	intel core i7-4558u
1259	Intel Pentium G3260 @ 3.30GHz	2065	1860	台式机	intel pentium g3260
1260	Intel Core i7-4600M @ 2.90GHz	3184	1858	笔记本	intel core i7-4600m
1261	Intel Core i5-4440 @ 3.10GHz	4747	1857	台式机	intel core i5-4440
1262	AMD Ryzen 3 PRO 2100GE	4187	1855	台式机	amd ryzen 3 pro 2100ge
1263	"Qualcomm Technologies, Inc SM6375"	4186	1855	台式机	"qualcomm technologies, inc sm6375"
1264	Intel Xeon E5-2698 v3 @ 2.30GHz	18757	1854	台式机	intel xeon e5-2698 v3
1265	Microsoft ARM SQ1 @ 3.0 GHz	5028	1853	笔记本	microsoft arm sq1
1266	Intel Core i5-3450S @ 2.80GHz	4323	1852	台式机	intel core i5-3450s
1267	Intel Core i5-4460S @ 2.90GHz	4537	1850	台式机	intel core i5-4460s
1268	Intel Core i5-6500TE @ 2.30GHz	4658	1850	台式机	intel core i5-6500te
1269	Intel Xeon Gold 5120T @ 2.20GHz	18127	1849	台式机	intel xeon gold 5120t
1270	Intel Xeon E3-1505L v6 @ 2.20GHz	6088	1848	笔记本	intel xeon e3-1505l v6
1271	Intel Core i5-4330M @ 2.80GHz	3168	1847	笔记本	intel core i5-4330m
1272	Intel Xeon Gold 5120 @ 2.20GHz	17686	1847	台式机	intel xeon gold 5120
1273	AMD EPYC 7302P	32543	1846	台式机	amd epyc 7302p
1274	Intel Core i7-4722HQ @ 2.40GHz	5620	1844	笔记本	intel core i7-4722hq
1275	AMD EPYC 7502	49178	1843	台式机	amd epyc 7502
1276	Intel Pentium G4600T @ 3.00GHz	3130	1843	台式机	intel pentium g4600t
1277	Intel Core i7-4700EQ @ 2.40GHz	4941	1842	台式机	intel core i7-4700eq
1278	Intel Pentium G2140 @ 3.30GHz	2092	1842	台式机	intel pentium g2140
1279	Intel Xeon E5-2699 v3 @ 2.30GHz	20447	1841	台式机	intel xeon e5-2699 v3
1280	Intel Xeon Gold 5115 @ 2.40GHz	14649	1841	台式机	intel xeon gold 5115
1281	AMD EPYC 7282	29489	1840	台式机	amd epyc 7282
1282	Intel Xeon Gold 6140 @ 2.30GHz	22733	1840	台式机	intel xeon gold 6140
1283	MT6877V/TZA	4820	1840	台式机	mt6877v/tza
1284	MT8195AV/ZA	5735	1840	台式机	mt8195av/za
1285	Intel Celeron G3950 @ 3.00GHz	2412	1839	台式机	intel celeron g3950
1286	Intel Core i7-3970X @ 3.50GHz	8391	1836	台式机	intel core i7-3970x
1287	AMD Ryzen 7 2700U	6948	1834	笔记本	amd ryzen 7 2700u
1288	AMD Ryzen 7 2700U	6948	1834	笔记本	amd ryzen 7 2700u with radeon vega mobile gfx
1289	Intel Xeon E3-1290 @ 3.60GHz	4988	1833	台式机	intel xeon e3-1290
1290	Intel Xeon Silver 4210R @ 2.40GHz	15197	1833	台式机	intel xeon silver 4210r
1291	Intel Xeon Silver 4210 @ 2.20GHz	14164	1833	台式机	intel xeon silver 4210
1292	Intel Xeon E3-1290 @ 3.60GHz	4988	1833	台式机	intel xeon e31290
1293	Intel Pentium Gold G5400T @ 3.10GHz	3185	1832	台式机	intel pentium gold g5400t
1294	Intel Core i7-6600U @ 2.60GHz	3466	1828	笔记本	intel core i7-6600u
1295	Intel Core i5-3475S @ 2.90GHz	4214	1827	台式机	intel core i5-3475s
1296	AMD Athlon 300U	3966	1825	笔记本	amd athlon 300u
1297	Intel Pentium 6805 @ 1.10GHz	4448	1825	笔记本	intel pentium 6805
1298	AMD Athlon 300U	3966	1825	笔记本	amd athlon 300u with radeon vega mobile gfx
1299	AMD Ryzen 3 3200U	3860	1823	笔记本	amd ryzen 3 3200u
1300	AMD Ryzen 5 2500U	6523	1823	笔记本	amd ryzen 5 2500u
1301	Hisilicon Kirin985	4162	1823	台式机	hisilicon kirin985
1302	AMD Ryzen 5 2500U	6523	1823	笔记本	amd ryzen 5 2500u with radeon vega mobile gfx
1303	AMD Ryzen 3 3200U	3860	1823	笔记本	amd ryzen 3 3200u with radeon vega mobile gfx
1304	Intel Xeon Silver 4208 @ 2.10GHz	11157	1822	台式机	intel xeon silver 4208
1305	AMD Athlon PRO 200GE	4139	1821	台式机	amd athlon pro 200ge
1306	AMD EPYC 7351	23566	1821	台式机	amd epyc 7351
1307	AMD Athlon PRO 200GE	4139	1821	台式机	amd athlon pro 200ge w/ radeon vega graphics
1308	Intel Core i3-4170T @ 3.20GHz	3181	1819	台式机	intel core i3-4170t
1309	Intel Core i5-7442EQ @ 2.10GHz	4834	1819	笔记本	intel core i5-7442eq
1310	"taoyao based Qualcomm Technologies, Inc. Yupik IDP"	6359	1818	台式机	"taoyao based qualcomm technologies, inc. yupik idp"
1311	Intel Pentium G3250 @ 3.20GHz	1961	1817	台式机	intel pentium g3250
1312	Intel Xeon E5-4655 v3 @ 2.90GHz	9377	1817	台式机	intel xeon e5-4655 v3
1313	Intel Xeon E5-2660 v3 @ 2.60GHz	13156	1816	台式机	intel xeon e5-2660 v3
1314	AMD FX-9590 Eight-Core	6747	1814	台式机	amd fx-9590 eight-core
1315	Intel Core i3-3250 @ 3.50GHz	2412	1814	台式机	intel core i3-3250
1316	AMD FX-9590 Eight-Core	6747	1814	台式机	amd fx-9590
1317	Intel Core i5-4310M @ 2.70GHz	3114	1812	笔记本	intel core i5-4310m
1318	Intel Xeon D-2143IT @ 2.20GHz	13107	1812	台式机	intel xeon d-2143it
1319	Intel Xeon E5-2623 v4 @ 2.60GHz	6923	1810	台式机	intel xeon e5-2623 v4
1320	AMD EPYC 7351P	25484	1809	台式机	amd epyc 7351p
1321	Intel Core i7-4712MQ @ 2.30GHz	5295	1809	笔记本	intel core i7-4712mq
1322	Intel Core i7-6650U @ 2.20GHz	3589	1809	笔记本	intel core i7-6650u
1323	Intel Xeon Silver 4216 @ 2.10GHz	20062	1809	台式机	intel xeon silver 4216
1324	Intel Core i5-4200H @ 2.80GHz	3121	1808	台式机	intel core i5-4200h
1325	Intel Core i5-4430 @ 3.00GHz	4671	1808	台式机	intel core i5-4430
1326	Intel Xeon Gold 5118 @ 2.30GHz	16237	1807	台式机	intel xeon gold 5118
1327	Intel Xeon E5-1607 v3 @ 3.10GHz	4950	1807	台式机	intel xeon e5-1607 v3
1328	Intel Core i7-2700K @ 3.50GHz	5686	1807	台式机	intel core i7-2700k
1329	AMD Ryzen 3 3250U	3901	1806	笔记本	amd ryzen 3 3250u
1330	Intel Core i5-4570R @ 2.70GHz	4475	1806	台式机	intel core i5-4570r
1331	AMD Ryzen 5 PRO 2500U	6785	1806	笔记本	amd ryzen 5 pro 2500u
1332	AMD Ryzen 5 PRO 2500U	6785	1806	笔记本	amd ryzen 5 pro 2500u w/ radeon vega mobile gfx
1333	AMD Athlon 200GE	4100	1805	台式机	amd athlon 200ge
1334	Intel Core i5-4400E @ 2.70GHz	3251	1804	台式机	intel core i5-4400e
1335	Intel Xeon E3-1280 @ 3.50GHz	5613	1804	台式机	intel xeon e3-1280
1336	Intel Xeon E3-1280 @ 3.50GHz	5613	1804	台式机	intel xeon e31280
1337	"Renoir based on Qualcomm Technologies, Inc SM7350"	4780	1803	台式机	"renoir based on qualcomm technologies, inc sm7350"
1338	Intel Xeon D-2146NT @ 2.30GHz	11736	1802	台式机	intel xeon d-2146nt
1339	Intel Core i7-3960X @ 3.30GHz	8461	1801	台式机	intel core i7-3960x
1340	Intel Core i5-4440S @ 2.80GHz	4367	1800	台式机	intel core i5-4440s
1341	Intel Core i7-4700HQ @ 2.40GHz	5624	1799	笔记本	intel core i7-4700hq
1342	Intel Core i5-6300HQ @ 2.30GHz	4708	1798	笔记本	intel core i5-6300hq
1343	Intel Xeon E5-2640 v4 @ 2.40GHz	11893	1798	台式机	intel xeon e5-2640 v4
1344	Intel Xeon E5-2697 v2 @ 2.70GHz	14256	1798	台式机	intel xeon e5-2697 v2
1345	MT6889Z/CZA	4504	1798	台式机	mt6889z/cza
1346	Intel Pentium G3420 @ 3.20GHz	1966	1796	台式机	intel pentium g3420
1347	Intel Xeon E5-2680 v2 @ 2.80GHz	12648	1796	台式机	intel xeon e5-2680 v2
1348	Intel Core i3-3240 @ 3.40GHz	2292	1795	台式机	intel core i3-3240
1349	Intel Core i5-3470T @ 2.90GHz	2958	1794	台式机	intel core i5-3470t
1350	Intel Xeon E5-1660 @ 3.30GHz	8420	1793	台式机	intel xeon e5-1660
1351	Intel Xeon E5-1660 @ 3.30GHz	8420	1793	台式机	intel xeon e5-1660 0
1352	Intel Xeon E5-2680 v3 @ 2.50GHz	15637	1791	台式机	intel xeon e5-2680 v3
1353	Intel Xeon Silver 4214Y @ 2.20GHz	15248	1790	台式机	intel xeon silver 4214y
1354	Intel Core i7-3615QE @ 2.30GHz	5531	1789	笔记本	intel core i7-3615qe
1355	Intel Core i5-6500T @ 2.50GHz	4779	1788	台式机	intel core i5-6500t
1356	AMD EPYC 3101 4-Core	6050	1787	台式机	amd epyc 3101 4-core
1357	Intel Celeron G3930 @ 2.90GHz	2250	1787	台式机	intel celeron g3930
1358	Intel Xeon E5-4627 v2 @ 3.30GHz	9320	1786	台式机	intel xeon e5-4627 v2
1359	AMD Ryzen Embedded R1600	3246	1785	台式机	amd ryzen embedded r1600
1360	Intel Core i5-3335S @ 2.70GHz	3982	1785	台式机	intel core i5-3335s
1361	Intel Pentium GOLD 6500Y @ 1.10GHz	3034	1785	台式机	intel pentium gold 6500y
1362	Intel Xeon E5-2695 v3 @ 2.30GHz	16455	1784	台式机	intel xeon e5-2695 v3
1363	Intel Core i5-3350P @ 3.10GHz	4250	1783	台式机	intel core i5-3350p
1364	Intel Core i7-4560U @ 1.60GHz	2950	1782	笔记本	intel core i7-4560u
1365	Intel Core i7-4610M @ 3.00GHz	3041	1781	笔记本	intel core i7-4610m
1366	Intel Core i7-5550U @ 2.00GHz	2908	1781	笔记本	intel core i7-5550u
1367	Intel Xeon E3-1220 v6 @ 3.00GHz	5711	1781	台式机	intel xeon e3-1220 v6
1368	Intel Xeon Silver 4116T @ 2.10GHz	15187	1781	台式机	intel xeon silver 4116t
1369	Intel Core i5-1030NG7 @ 1.10GHz	5914	1781	笔记本	intel core i5-1030ng7
1370	Intel Core i5-3340S @ 2.80GHz	3993	1780	台式机	intel core i5-3340s
1371	Intel Core i5-3380M @ 2.90GHz	2934	1780	笔记本	intel core i5-3380m
1372	Intel Core i5-3340 @ 3.10GHz	4229	1779	台式机	intel core i5-3340
1373	"Qualcomm Technologies, Inc SM8150"	4498	1777	台式机	"qualcomm technologies, inc sm8150"
1374	Intel Core i7-4710HQ @ 2.50GHz	5509	1776	笔记本	intel core i7-4710hq
1375	Intel Xeon D-2123IT @ 2.20GHz	6841	1775	台式机	intel xeon d-2123it
1376	Intel Core i5-7400T @ 2.40GHz	4722	1771	台式机	intel core i5-7400t
1377	Intel Xeon E5-1620 @ 3.60GHz	5854	1771	台式机	intel xeon e5-1620
1378	Intel Xeon E5-2630 v3 @ 2.40GHz	10430	1771	台式机	intel xeon e5-2630 v3
1379	AMD Athlon Gold 3150U	4003	1771	笔记本	amd athlon gold 3150u
1380	Intel Xeon E5-1620 @ 3.60GHz	5854	1771	台式机	intel xeon e5-1620 0
1381	Intel Core i5-6360U @ 2.00GHz	3150	1770	笔记本	intel core i5-6360u
1382	AMD PRO A12-8870	3887	1770	台式机	amd pro a12-8870
1383	AMD PRO A12-8870	3887	1770	台式机	amd pro a12-8870 r7
1384	AMD PRO A12-8870	3887	1770	台式机	"amd pro a12-8870 r7, 12 compute cores 4c+8g"
1385	Intel Xeon E3-1240L v3 @ 2.00GHz	5304	1769	台式机	intel xeon e3-1240l v3
1386	Intel Celeron G3920 @ 2.90GHz	2346	1768	台式机	intel celeron g3920
1387	Intel Core i5-3360M @ 2.80GHz	2877	1768	笔记本	intel core i5-3360m
1388	Intel Pentium Silver N6005 @ 2.00GHz	5428	1768	笔记本	intel pentium silver n6005
1389	Intel Core i3-4160T @ 3.10GHz	3137	1767	台式机	intel core i3-4160t
1390	Intel Core i5-4300M @ 2.60GHz	3042	1767	笔记本	intel core i5-4300m
1391	Intel Xeon E5-2630 v4 @ 2.20GHz	11632	1767	台式机	intel xeon e5-2630 v4
1392	MT6893Z_C/CZA	6139	1767	台式机	mt6893z_c/cza
1393	Intel Xeon E3-1270 @ 3.40GHz	5420	1765	台式机	intel xeon e3-1270
1394	Intel Xeon E3-1270 @ 3.40GHz	5420	1765	台式机	intel xeon e31270
1395	Intel Core i5-7200U @ 2.50GHz	3399	1764	笔记本	intel core i5-7200u
1396	Intel Core i7-4700MQ @ 2.40GHz	5353	1764	笔记本	intel core i7-4700mq
1397	Intel Core i7-3540M @ 3.00GHz	2918	1763	笔记本	intel core i7-3540m
1398	Intel Core i5-2550K @ 3.40GHz	4184	1762	台式机	intel core i5-2550k
1399	MT6891	5791	1762	台式机	mt6891
1400	"Qualcomm Technologies, Inc SM7225"	3328	1762	台式机	"qualcomm technologies, inc sm7225"
1401	Intel Core i7-3930K @ 3.20GHz	8259	1761	台式机	intel core i7-3930k
1402	Intel Xeon E3-1235L v5 @ 2.00GHz	5013	1761	台式机	intel xeon e3-1235l v5
1403	Intel Pentium D1508 @ 2.20GHz	3240	1760	台式机	intel pentium d1508
1404	AMD EPYC 7D12	35853	1760	台式机	amd epyc 7d12
1405	Intel Celeron G4930T @ 3.00GHz	2284	1758	台式机	intel celeron g4930t
1406	Intel Core i5-4470S @ 3.00GHz	4742	1756	台式机	intel core i5-4470s
1407	Intel Xeon E3-1275 @ 3.40GHz	5443	1755	台式机	intel xeon e3-1275
1408	Intel Xeon E3-1275 @ 3.40GHz	5443	1755	台式机	intel xeon e31275
1409	Intel Core i7-4785T @ 2.20GHz	5454	1754	台式机	intel core i7-4785t
1410	Intel Core i7-4860EQ @ 1.80GHz	5500	1754	笔记本	intel core i7-4860eq
1411	Intel Pentium G3240 @ 3.10GHz	1944	1754	台式机	intel pentium g3240
1412	Intel Xeon E5-1603 v4 @ 2.80GHz	4812	1754	台式机	intel xeon e5-1603 v4
1413	Intel Xeon E5-2628 v3 @ 2.50GHz	8447	1754	台式机	intel xeon e5-2628 v3
1414	Intel Core i7-5600U @ 2.60GHz	2979	1753	笔记本	intel core i7-5600u
1415	Intel Core i5-4210H @ 2.90GHz	3012	1752	笔记本	intel core i5-4210h
1416	Intel Xeon D-2166NT @ 2.00GHz	15105	1751	台式机	intel xeon d-2166nt
1417	Intel Celeron G4900T @ 2.90GHz	2277	1749	台式机	intel celeron g4900t
1418	Intel Xeon E5-4627 v3 @ 2.60GHz	11344	1749	台式机	intel xeon e5-4627 v3
1419	Intel Core m3-8100Y @ 1.10GHz	2906	1749	笔记本	intel core m3-8100y
1420	AMD Ryzen 3 2300U	5489	1747	笔记本	amd ryzen 3 2300u
1421	AMD Ryzen 3 2300U	5489	1747	笔记本	amd ryzen 3 2300u with radeon vega mobile gfx
1422	Snapdragon 8cx @ 2.84 GHz	4556	1745	笔记本	snapdragon 8cx
1423	Intel Core i7-2600 @ 3.40GHz	5349	1743	台式机	intel core i7-2600
1424	Intel Pentium G2130 @ 3.20GHz	1905	1743	台式机	intel pentium g2130
1425	Intel Xeon E5-2630L v4 @ 1.80GHz	10864	1743	台式机	intel xeon e5-2630l v4
1426	Hisilicon Kirin980	4290	1742	台式机	hisilicon kirin980
1427	Intel Xeon W-2102 @ 2.90GHz	5105	1742	台式机	intel xeon w-2102
1428	Intel Core i7-2600K @ 3.40GHz	5493	1741	台式机	intel core i7-2600k
1429	"Qualcomm Technologies, Inc SA8195P"	6554	1741	台式机	"qualcomm technologies, inc sa8195p"
1430	Intel Core i7-3820 @ 3.60GHz	5785	1740	台式机	intel core i7-3820
1431	Intel Xeon E5-2678 v3 @ 2.50GHz	14607	1738	台式机	intel xeon e5-2678 v3
1432	Intel Xeon E5-2673 v3 @ 2.40GHz	14046	1737	台式机	intel xeon e5-2673 v3
1433	Intel Xeon E5-1650 @ 3.20GHz	8091	1737	台式机	intel xeon e5-1650
1434	Intel Xeon E5-1650 @ 3.20GHz	8091	1737	台式机	intel xeon e5-1650 0
1435	AMD EPYC 7551	22005	1736	台式机	amd epyc 7551
1436	Intel Core i3-3245 @ 3.40GHz	2295	1736	台式机	intel core i3-3245
1437	Intel Pentium G4400T @ 2.90GHz	2331	1736	台式机	intel pentium g4400t
1438	Intel Core i5-4430S @ 2.70GHz	4221	1734	台式机	intel core i5-4430s
1439	Intel Core i7-3520M @ 2.90GHz	2858	1733	笔记本	intel core i7-3520m
1440	"Odin based on Qualcomm Technologies, Inc SM8350"	6468	1732	台式机	"odin based on qualcomm technologies, inc sm8350"
1441	vendor Kirin980	5335	1732	台式机	vendor kirin980
1442	Intel Core i3-3220 @ 3.30GHz	2239	1731	台式机	intel core i3-3220
1443	Intel Xeon E5-2676 v4 @ 2.40GHz	18978	1730	台式机	intel xeon e5-2676 v4
1444	Intel Xeon E3-1245 @ 3.30GHz	5324	1729	台式机	intel xeon e3-1245
1445	Intel Xeon E3-1245 @ 3.30GHz	5324	1729	台式机	intel xeon e31245
1446	Intel Core i5-3570T @ 2.30GHz	4057	1728	台式机	intel core i5-3570t
1447	Intel Xeon D-2183IT @ 2.20GHz	18385	1728	台式机	intel xeon d-2183it
1448	Intel Core i7-2600S @ 2.80GHz	4560	1727	台式机	intel core i7-2600s
1449	Intel Xeon E5-2685 v3 @ 2.60GHz	12944	1726	台式机	intel xeon e5-2685 v3
1450	Intel Xeon D-1521 @ 2.40GHz	5876	1724	台式机	intel xeon d-1521
1451	Intel Core i7-4750HQ @ 2.00GHz	5605	1722	笔记本	intel core i7-4750hq
1452	Intel Core i7-6498DU @ 2.50GHz	3303	1721	笔记本	intel core i7-6498du
1453	Intel Xeon Silver 4214 @ 2.20GHz	16002	1721	台式机	intel xeon silver 4214
1454	Intel Core i5-3330 @ 3.00GHz	4088	1720	台式机	intel core i5-3330
1455	Intel Xeon E3-1240 @ 3.30GHz	5372	1720	台式机	intel xeon e3-1240
1456	Intel Xeon E3-1240 @ 3.30GHz	5372	1720	台式机	intel xeon e31240
1457	Intel Celeron G5905T @ 3.30GHz	2070	1718	台式机	intel celeron g5905t
1458	Intel Core i5-4670T @ 2.30GHz	4311	1718	台式机	intel core i5-4670t
1459	Intel Xeon E5-2683 v4 @ 2.10GHz	17397	1718	台式机	intel xeon e5-2683 v4
1460	Intel Core i5-4278U @ 2.60GHz	2836	1718	笔记本	intel core i5-4278u
1461	Intel Celeron G3900 @ 2.80GHz	2185	1717	台式机	intel celeron g3900
1462	Intel Core i3-4330T @ 3.00GHz	3098	1717	台式机	intel core i3-4330t
1463	Intel Core i5-6442EQ @ 1.90GHz	4598	1716	笔记本	intel core i5-6442eq
1464	Intel Xeon D-2141I @ 2.20GHz	12117	1713	台式机	intel xeon d-2141i
1465	Intel Pentium G2120 @ 3.10GHz	1882	1711	台式机	intel pentium g2120
1466	Intel Xeon E5-2658 v3 @ 2.20GHz	13487	1711	台式机	intel xeon e5-2658 v3
1467	MT6891Z/CZA	6137	1711	台式机	mt6891z/cza
1468	Intel Xeon Silver 4116 @ 2.10GHz	14931	1709	台式机	intel xeon silver 4116
1469	Intel Core i3-3210 @ 3.20GHz	2157	1707	台式机	intel core i3-3210
1470	Intel Xeon E5-2650 v4 @ 2.20GHz	14138	1707	台式机	intel xeon e5-2650 v4
1471	AMD Athlon Gold 3150C	3292	1706	笔记本	amd athlon gold 3150c
1472	Intel Celeron G3930TE @ 2.70GHz	2218	1706	台式机	intel celeron g3930te
