int	LangText	enum.ItemType	enum.ItemQuality	enum.BagType	bool	int	int	bool	float	int	float	float	DateTime	DateTime	bool	uint	uint[][]	float	float	string	ItemUse[].enum.EditorItemUseType	ItemUse[].string[]	enum.UseTargetType	int[]	enum.BindingType	bool	bool	int	LangText	string	string	string	int	float	bool	bool	bool	bool	int	string[]	bool	string	enum.BagJumpType	bool	enum.UIItemIconType	bool	int	int	int[]	float	bool
700005	矛隼整备套装	1	1	1	1	-1	-1		-1			-1			1						7	700005	1		1				包含机甲【矛隼】的所有武装，让你更好地应对不同的作战场合。											普通,,					1						
700006	中级信用币礼包	1	1	1	1	-1	-1		-1			-1			1						7	700006	1		1				包含海量的路网信用币											普通,,					1						
700007	高级信用币礼包	1	1	1	1	-1	-1		-1			-1			1						7	700007	1		1				包含巨额的路网信用币											普通,,					1						
700008	信用币兑换	1	4	1	1	-1	-1		-1			-1			1						5	101,5000,0,0	1		1				一次性兑换5000枚路网信用币											顶级,,					1		20011				
800001	奖池2抽卡道具	1	1	1	1	-1	-1	1	-1			-1											1		1			100	抽卡道具											普通,,					1		20002				
900001	测试赤霄核心道具	1	1	1	1	-1	-1	1	-1			-1									1		1		1	1		1	用于研发机甲赤霄测试的核心材料											普通,,					1		20002				
900002	德拉姆核心道具	1	1	1	1	-1	-1	1	-1			-1									1		1		1	1		1	用于研发机甲德拉姆的核心材料											普通,,					1		20033				
900003	德拉姆研发配置	7	1	1	1	-1	-1		-1			-1			1						8	10009	1		1											1				普通,,					1		20024				
910001	高能聚合装药	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	常用于身管火炮弹药的高能发射药。								0	0		高级,火炮专属研发材料,		研发	2	1	1		20033				
910002	电磁同步线圈	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	生成强大磁场的加速线圈元件。								0	0		高级,电磁炮专属研发材料,		研发	2	1	1		20033				
910003	超导压缩磁镜	1	3	1	1	50	100	1	-1			-1											1		1	1		1	容纳高能重离子的磁约束设备。								0	0		高级,重离子炮专属研发材料,		研发	2	1	1		20033				
910004	速燃火箭引擎	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	先进的高性能固体火箭发动机。								0	0		高级,火箭动力专属研发材料,		研发	2	1	1		20033				
910005	感应复合材料	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	可传导切连科夫感应场的方晶复合材料。								0	0		高级,近战专属研发材料,		研发	2	1	1		20033				
910006	护盾调谐回路	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	生成和控制流体护盾的感应场极板元件。								0	0		高级,护盾专属研发材料,		研发	2	1	1		20033				
910007	电战演算芯片	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	为感应场映射运算针对性优化的高算力芯片组。								0	0		高级,电子战专属研发材料,		研发	2	1	1		20033				
910008	蜂群决策核心	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	管理无人机协同逻辑的行为控制核心。								0	0		高级,无人机专属研发材料,		研发	2	1	1		20033				
910009	精密重载伺服	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	作动快速精确的高扭矩关节伺服驱动器。								0	0		高级,战术变形专属研发材料,		研发	2	1	1		20033				
910010	增幅同步器件	1	3	1	1	-1	-1	1	-1			-1											1		1	1		1	放大并广播切连科夫感应场的增幅芯片。								0	0		高级,增幅专属研发材料,		研发	2	1	1		20033				
910011	标准控制接口	1	2	1	1	-1	-1	1	-1			-1											1		1	1		1	常规武装的标准数据接口模块。								0	0		稀有,标准研发材料,		研发	2	1	1		20033				
910012	感应通信链路	1	2	1	1	-1	-1	1	-1			-1											1		1	1		1	用于感应场通讯的信号收发天线与解算设备。								0	0		稀有,标准研发材料,		研发	2	1	1		20033				
910013	综合能源管线	1	2	1	1	-1	-1	1	-1			-1											1		1	1		1	支持某些高能耗武装的能源管线。								0	0		稀有,标准研发材料,		研发	2	1	1		20033				
910014	补偿控制模块	1	2	1	1	-1	-1	1	-1			-1											1		1	1		1	测量姿态变化并主动补偿调整的姿控模块。								0	0		稀有,标准研发材料,		研发	2	1	1		20033				
910015	轻型开发物料	1	1	1	1	-1	-1	1	-1			-1											1		1	1		1	用于武装开发的轻量化材料资源包。								0	0		普通,通用研发材料,		研发	2	1	1		20034				
910016	重型开发物料	1	1	1	1	-1	-1	1	-1			-1											1		1	1		1	用于武装开发的高强度材料资源包。								0	0		普通,通用研发材料,		研发	2	1	1		20034				
920001	配件研发道具1	1	1	1	1	-1	-1	1	-1			-1											1		1	1		1	配件研发道具											普通,,		研发	2		1		20033				
920002	配件研发道具2	1	1	1	1	-1	-1	1	-1			-1											1		1	1		1	配件研发道具											普通,,		研发	2		1		20034				
920003	配件研发道具3	1	1	1	1	-1	-1	1	-1			-1											1		1	1		1	配件研发道具											普通,,		研发	2		1		20015				
930001	驾驶员手册	1	2	1	1	50	100		-1			-1											1		1	1		100	记载着驾驶员行为规范准则的书册											稀有,,		升级	1	1	1		20015				
931001	驾驶员操作手册	1	2	1	1	-1	-1	1	-1			-1									3	100	1		2	1		100	记载了诸多机甲操作技术技巧的资料书，编者不详							1				稀有,,		升级	1	1	1		20015				
6001001	维修无人机	1	2	7	0	1	6	1	-1			-1			0		1527,1630,1631|33,34,33	0	0		1		1				0		适用于人形机挂载的维修无人机，释放后对自身机甲进行维修，由于耗材携带量少，通常只能使用1次。			不可带出玛什马克	111010115		0	1			111010122	框架强度恢复,,					1	1	20003	20003			1
6001002	增设推进器	1	2	7	0	1	6	1	-1			-1			0		1644|100	0	0		1		1						可挂接在人形机甲背部的通用型推进器。适用于需要长距离直线飞行的场合，在高加速状态下机甲难以进行转向操作，可通过断开与该设备的连接解除加速推进状态。			不可带出玛什马克	337		0	1			111010124	冲刺,,					1	1	20004	20004			1
6001003	机载尘屑散布器	1	1	7	0	1	6	1	-1			-1									1		1		2	1		100	通过持续释放EIC尘屑来影响敌机的火控系统，在尘屑环境下使自身免于被其他机甲锁定。			不可带出玛什马克							111010124	范围隐蔽,反锁定,					1	1	20029				1
6001004	追踪无人机	1	1	7		1	6	1	-1			-1									1		1		2	1		100	释放小尺寸的隐形无人机持续追踪目标。由于体积小，携带燃料有限，为了适配目标的机动性能，通常只能追踪一段时间。			不可带出玛什马克							111010124	侦查,,					1	1	20037				1
6001005	自爆引导模块	1	2	7		1	6	1	-1			-1									1		1		2	1		100	激活后，机甲会在坠毁前自动引爆供能模块，波及爆炸范围内的敌机。			不可带出玛什马克							111010124	范围伤害,坠毁自动使用,					1		20050				1
6001006	外置解限模块	1	1	7		1	6	1	-1			-1									1		1		2	1		100	激活后，通过外部回路强制解除当前机甲的阻断器，令驾驶员与机甲直接的意识投影连接打到更高层级，从而起到提升机甲作战性能的效果。			不可带出玛什马克							111010124	性能全面提升,,					1	1	20055				1
100010101	“雨燕”速射炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	高精度、高射速的小口径实弹机炮。											普通,矛隼,主武器				1	1		20035		10110101		
100010102	连射机枪	5	1	0		1	9999	1	-1			-1											1		2	1		100	高精度、高射速的小口径实弹机炮。											普通,矛隼,主武器				1	1		20029		1909		
100010201	“胡蜂”轻型导弹	5	1	0		1	9999	1	-1			-1											1		2	1		100	对锁定目标发射多枚高爆导弹。											普通,矛隼,副武器					1		20036		10120701		
100010202	“山猫”火箭发射器	5	1	0		1	9999	1	-1			-1											1		2	1		100	对锁定目标发射多枚高爆火箭弹。飞行模式下连射数增加。											普通,矛隼,副武器					1		20002		10120901		
100010301	“全视之眼”侦查模块	5	1	0		1	9999	1	-1			-1											1		2	1		100	大范围扫描周边战场探测隐形单位，且能标记一个目标，令本机优先锁定此目标、免受各类诱饵干扰。											普通,矛隼,武装1					1		20037		10120101		
100010302	“啄木鸟”维修无人机	5	1	0		1	9999	1	-1			-1											1		2	1		100	释放维修无人机，修理载机或友方机体，结构装甲修理完毕后继续为目标补充流体护盾。											普通,矛隼,武装1					1		20038		10180150		
100010401	“瓦尔文”战术变形系统	5	1	0		1	9999	1	-1			-1											1		2	1		100	转换为飞行器形态，机动性大幅提升，部分武装解除性能限制。											普通,矛隼,武装2					1		20039		10180201		
100010501	“雷鸟”重型导弹	5	1	0		1	9999	1	-1			-1											1		2	1		100	对锁定目标发射大威力高爆导弹。仅在飞行器形态下发射。											普通,矛隼,武装3					1		20040		10120801		
100010502	“射水鱼”浮雷布设器	5	1	0		1	9999	1	-1			-1											1		2	1		100	布设一次性浮雷，敌机进入警戒范围时浮雷爆炸，射出重离子束狙击目标。											普通,矛隼,武装3					1		20041		348		
100010503	“椋鸟”导弹布撒器	5	1	0		1	9999	1	-1			-1											1		2	1		100	对锁定目标发射大威力高爆导弹。仅在飞行器形态下发射。											普通,矛隼,武装3					1		20152		10150901		
100010601	头部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,矛隼,头部				1	1		20025				
100010701	手臂1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,矛隼,手臂					1		20042				
100010801	身躯1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,矛隼,身躯					1		20026				
100010901	腿部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,矛隼,腿部					1		20043				
100011001	背部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,矛隼,背部					1		20044				
100011111	精密身管“雨燕”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	减小弹头章动，提高武器伤害。		减小弹头章动，提高武器伤害。									普通,“雨燕”速射炮,强化身管				1	1		20045				
100011121	增强解算单元“雨燕”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	高速运动解算，提高对运动目标的射击精度。		高速运动解算，提高对运动目标的射击精度。									普通,“雨燕”速射炮,改良火控					1		20046				
100011131	大型弹匣“雨燕”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	大容量弹匣，增加弹匣容量。		大容量弹匣，增加弹匣容量。									普通,“雨燕”速射炮,弹匣改装					1		20047				
100020101	“银斛”高速近防炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	高射速实弹近防炮，对近距目标伤害较高。											普通,恩赫里亚,主武器					1		20048		10220101		
100020102	“加姆班泰因” 大剑	5	1	0		1	9999	1	-1			-1											1		2	1		100	近战武器，可迅猛灵活地追击对手。											普通,恩赫里亚,主武器					1		20049		10220105		
100020103	“库里奇”霰弹炮	5	2	0		1	9999	1	-1			-1											1		2	1		100	近距离威力绝佳的滑膛霰弹炮。											稀有,恩赫里亚,主武器					1		20050		723		
100020104	骑士长矛	5	1	0	0	1	9999	1	-1			-1											1		2	1		100	骑士长矛											普通,恩赫里亚,主武器					1		20049		1652		
100020201	“加姆班泰因” 大剑	5	1	0		1	9999	1	-1			-1											1		2	1		100	近战武器，可迅猛灵活地追击对手。											普通,恩赫里亚,副武器					1		20049		10220105		
100020202	“古尔薇格”模块化护盾	5	1	0		1	9999	1	-1			-1											1		2	1		100	举起盾牌防御前方攻击，盾牌收起时重新充能。											普通,恩赫里亚,副武器					1		20051		970		
100020301	“缚狼索”火箭锚爪	5	1	0		1	9999	1	-1			-1											1		2	1		100	对锁定目标发射锚爪干扰其火控，且可牵引自身快速逼近目标予以重击。											普通,恩赫里亚,武装1					1		20052		10280201		
100020302	“杜华林”感应脉冲导弹	5	1	0	0	1	9999	1	-1			-1											1		2	1		100	对锁定目标发射感应脉冲导弹，瘫痪其运动和推进系统，令其无法移动。											普通,恩赫里亚,武装1					1		20053		1008		
100020303	“阿尔贝里希”信标无人机	5	1	0	0	1	9999	1	-1			-1											1		2	1		100	释放追踪型信标无人机，持续标记并锁定目标，大幅提高对该目标的追击能力和射击精度。											普通,恩赫里亚,武装1					1		20156		1		
100020401	“塔因海姆”幻影系统	5	1	0		1	9999	1	-1			-1											1		2	1		100	短时间提高机动性并干扰敌方火控，使其只能锁定残影。											普通,恩赫里亚,武装2					1		20054		10280101		
100020402	“斯库尔”光学迷彩	5	1	0		1	9999	1	-1			-1											1		2	1		100	展开全频谱光学迷彩，机体发动攻击时短暂失效。											普通,恩赫里亚,武装2					1		20055		68		
100020403	解限指令“骑士”	5	1	0		1	9999	1	-1			-1											1		2	1		100	解除阻断器，短时间内强化机师能力，显著提升机体的流体护盾回复速度和能量回复速度。											普通,恩赫里亚,武装2					1		20149		1022		
100020501	“斯莱普尼尔”感应刺针	5	1	0		1	9999	1	-1			-1											1		2	1		100	对锁定目标发射特殊的浮游刺针，无视护盾造成伤害。											普通,恩赫里亚,武装3					1		20056		10280401		
100020502	“斯瓦林”强化型流体护盾	5	1	0		1	9999	1	-1			-1											1		2	1		100	为机体提供额外护盾防御。默认启用，耗尽时重新充能，充能达到阈值后方可重启。											普通,恩赫里亚,武装3					1		20057		15		
100020601	头部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,恩赫里亚,头部					1		20025				
100020701	手臂1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,恩赫里亚,手臂					1		20042				
100020801	身躯1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,恩赫里亚,身躯					1		20026				
100020901	腿部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,恩赫里亚,腿部					1		20043				
100021001	背部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,恩赫里亚,背部					1		20044				
100021111	精密身管“银斛”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	减小弹头章动，提高武器伤害。		减小弹头章动，提高武器伤害。									普通,“银斛”高速近防炮,强化身管					1		20058				
100021121	辅助火控单元“银斛”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	额外火控附件，提高射击精度。		额外火控附件，提高射击精度。									普通,“银斛”高速近防炮,改良火控					1		20059				
100021131	大型弹匣“银斛”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	大容量弹箱，增加弹匣容量。		大容量弹箱，增加弹匣容量。									普通,“银斛”高速近防炮,弹匣改装					1		20060				
100022111	M2手武器刀表现测试	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	强化枪管初级型号，可略微增加武器伤害。		强化枪管初级型号，可略微增加武器伤害。									普通,“加姆班泰因” 大剑,配件					1		20013				
100022121	M2手武器刀把喷口表现测试	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	强化枪管初级型号，可略微增加武器伤害。		强化枪管初级型号，可略微增加武器伤害。									普通,“加姆班泰因” 大剑,配件					1		20013				
100022131	M2手武器增幅装置表现测试	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	强化枪管初级型号，可略微增加武器伤害。		强化枪管初级型号，可略微增加武器伤害。									普通,“加姆班泰因” 大剑,配件					1		20013				
100030101	“穿林”能量炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	性能均衡的重离子炮。											普通,龙渊,主武器					1		20061		10310101		
100030102	“陨火”突击炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	高伤害的大口径榴弹炮，发射高爆弹轰击目标。											普通,龙渊,主武器					1		20062		904		
100030201	“青崖”模块化护盾	5	1	0		1	9999	1	-1			-1											1		2	1		100	举起盾牌防御前方攻击，盾牌收起时重新充能。											普通,龙渊,副武器					1		20063		10320101		
100030202	“陨火”突击炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	高伤害的大口径榴弹炮，发射高爆弹轰击目标。											普通,龙渊,副武器					1		20062		904		
100030301	“藏锋”热能剑	5	1	0		1	9999	1	-1			-1											1		2	1		100	近战武器，攻击范围较大、冲击力强。											普通,龙渊,武装1					1		20064		10350101		
100030302	“翼虎”高机动组件	5	1	0		1	9999	1	-1			-1											1		2	1		100	启动气垫组件，短时间内大幅提高地面机动性。											普通,龙渊,武装1					1		20065		894		
100030303	“长缨”火控模块	5	1	0		1	9999	1	-1			-1											1		2	1		100	启动火控增强套件，武器锁定距离提高。											普通,龙渊,武装1					1		20066		909		
100030401	“浇石”重型电磁炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	高伤害、强冲击力的电磁炮。											普通,龙渊,武装2					1		20067		10340101		
100030402	长距离狙击炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	长距离狙击炮											普通,龙渊,武装2					1		20067		1374		
100030403	“铁狼”炮击无人机	5	1	0		1	9999	1	-1			-1											1		2	1		100	释放追踪型攻击无人机，发射重离子束持续追击目标。											普通,龙渊,武装2					1		20147		1494		
100030501	“气海”力场护盾无人机	5	1	0		1	9999	1	-1			-1											1		2	1		100	释放定点型护盾无人机，展开片状静滞力场，可抵御攻击或限制移动。											普通,龙渊,武装3					1		20068		10380101		
100030502	“百战”空投组件	5	1	0		1	9999	1	-1			-1											1		2	1		100	释放信标呼叫空投仓，重新装备附加装甲组件和其他特殊武装，但仅能使用一次。	释放信标呼叫空投仓，重新装备附加装甲组件和其他特殊武装，但仅能使用一次。	为进一步强化“龙渊”生存性能而开发的快反空投组件。若龙渊因战术需要或严重战损抛弃“玄甲”外装，一组信标将立即进入待命状态，随时准备呼叫并引导搭载第二套附加装备的空投仓。空投仓抵达后，内含的微米级方晶举升单元集群按预设程序将各附加装甲和武装快速装配至机体挂点，令“龙渊”迅速恢复完整的作战能力。									普通,龙渊,武装3					1		30103		1704		
100030601	头部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,龙渊,头部					1		20025				
100030701	手臂1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,龙渊,手臂					1		20042				
100030801	身躯1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,龙渊,身躯					1		20026				
100030901	腿部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,龙渊,腿部					1		20043				
100031001	背部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,龙渊,背部					1		20044				
100031111	收束身管“穿林”	3	1	1	0	1	1000	1	-1			-1									1		1		1				压缩束流截面，增加能量密度，提高武器伤害。		压缩束流截面，增加能量密度，提高武器伤害。									普通,“穿林”能量炮,强化身管					1		20069				
100031121	辅助火控单元“穿林”	3	1	1	0	1	1000	1	-1			-1									1		1		1				额外火控附件，提高射击精度。		额外火控附件，提高射击精度。									普通,“穿林”能量炮,改良火控					1		20070				
100031131	高容量电容“穿林”	3	1	1	0	1	1000	1	-1			-1									1		1		1				大容量电容器，增加弹匣容量。		大容量电容器，增加弹匣容量。									普通,“穿林”能量炮,供能升级					1		20071				
100034111	加长身管“浇石”	3	1	1	0	1	1000	1	-1			-1									1		1		1				加速线圈更多，弹丸速度更快。		加速线圈更多，弹丸速度更快。									普通,“浇石”重型磁轨炮,强化身管					1		20072				
100034121	辅助充能单元“浇石”	3	1	1	0	1	1000	1	-1			-1									1		1		1				提供额外电力，加快武器充能。		提供额外电力，加快武器充能。									普通,“浇石”重型磁轨炮,供能升级					1		20073				
100034131	高爆箭弹弹匣“浇石”	3	1	1	0	1	1000	1	-1			-1									1		1		1				换装高爆箭弹，提高爆炸威力。		换装高爆箭弹，提高爆炸威力。									普通,“浇石”重型磁轨炮,特殊弹药					1		20074				
100040101	“咆哮者”转管机炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	高射速的实弹转管机炮，亦可拦截敌方导弹。											普通,三角龙,主武器					1		20075		14410101		
100040201	“清道夫”多弹头导弹	5	1	0		1	9999	1	-1			-1											1		2	1		100	发射多锁导弹，抛洒大量分导高爆弹头，分别攻击各个目标。											普通,三角龙,副武器					1		20076		14480101		
100040202	“裁决者”转管机炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	威力惊人的实弹转管机炮，亦可拦截敌方导弹。											普通,三角龙,副武器					1		20151		1375		
100040301	“守护者”模块化流体护盾	5	1	0		1	9999	1	-1			-1											1		2	1		100	展开盾牌防御前方攻击，盾牌收起时重新充能。战术变形启动后加强为全向防御。											普通,三角龙,武装1					1		20077		14420201		
100040302	“救火队”反射束榴弹	5	1	0		1	9999	1	-1			-1											1		2	1		100	散布反射束方晶尘雾，削弱来袭重离子武器、加速我方流体护盾回复。											普通,三角龙,武装1					1		20078		254		
100040401	“堡垒”战术变形系统	5	1	0		1	9999	1	-1			-1											1		2	1		100	转换为堡垒形态，启动拦截器，提升射击与防御能力。											普通,三角龙,武装2					1		20079		14480201,14420102		
100040402	“战车”战术变形系统	5	1	0		1	9999	1	-1			-1											1		2	1		100	转换为战车形态，可运载一台我方机体，并为其提供严密保护。											普通,三角龙,武装2					1		20080		40		
100040501	“打击者”榴弹炮	5	1	0		1	9999	1	-1			-1											1		2	1		100	高伤害、强冲击力的大口径榴弹炮，发射高爆弹轰击目标。											普通,三角龙,武装3					1		20081		10420501		
100040502	“唱诗班”多管火箭发射器	5	1	0		1	9999	1	-1			-1											1		2	1		100	对锁定目标连续发射多枚重型高爆火箭弹，发射时无法移动。											普通,三角龙,武装3					1		20082		91		
100040503	加特林	5	1	0		1	-1	1	-1			-1											1		2	1		100	加特林											普通,三角龙,特殊武器3					1		20029		1375		
100040601	头部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,三角龙,头部					1		20025				
100040701	手臂1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,三角龙,手臂					1		20042				
100040801	身躯1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,三角龙,身躯					1		20026				
100040901	腿部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,三角龙,腿部					1		20043				
100041001	背部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,三角龙,背部					1		20044				
100041111	精密身管“咆哮者”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	减小弹头章动，提高武器伤害。		减小弹头章动，提高武器伤害。									普通,“咆哮者”转管机炮,强化身管					1		20083				
100041121	增强解算单元“咆哮者”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	高速运动解算，提高对动态目标的射击精度。		高速运动解算，提高对动态目标的射击精度。									普通,“咆哮者”转管机炮,改良火控					1		20084				
100041131	大型弹箱“咆哮者”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	大容量弹箱，增加弹匣容量。		大容量弹箱，增加弹匣容量。									普通,“咆哮者”转管机炮,弹匣改装					1		20085				
100045111	加长身管“打击者”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	发射药充分燃烧，提高弹速。		发射药充分燃烧，提高弹速。									普通,“打击者”榴弹炮,强化身管					1		20086				
100045121	增强解算单元“打击者”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	高速运动解算，提高对运动目标的射击精度。		高速运动解算，提高对运动目标的射击精度。									普通,“打击者”榴弹炮,改良火控					1		20087				
100045131	重型榴弹弹匣“打击者”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	换装重型榴弹，提高爆炸威力。		换装重型榴弹，提高爆炸威力。									普通,“打击者”榴弹炮,特殊弹药					1		20088				
100050101	零八式 长程射束炮“迅雷”	5	1	0		1	9999	1	-1			-1											1		2	1		100	近距作战模式：高射速、低消耗的重离子机炮模式。\n狙击模式：以高放大倍率远程狙击目标，蓄能射束贯穿力极强。											普通,鸣神,主武器					1		20089		10580101,10510101		
100050102	零九式 长程射束炮“电光”	5	1	0		1	9999	1	-1			-1											1		2	1		100	近距作战模式：高射速、高精准的重离子机炮模式。\n狙击模式：可在移动中以高放大倍率锁定、远程狙击目标。											普通,鸣神,主武器					1		20090		112,10510201		
100050201	零八式 长程射束炮“迅雷”狙击模式	5	1	0		1	9999	1	-1			-1											1		2	1		100	以高放大倍率远程锁定、狙击目标，蓄能射束贯穿力极强。											普通,鸣神,副武器					1		20091				
100050202	零九式 长程射束炮“电光”狙击模式	5	1	0		1	9999	1	-1			-1											1		2	1		100	可在移动中以高放大倍率远程锁定、狙击目标。											普通,鸣神,副武器					1		20090				
100050301	零二式 干扰无人机“水月”	5	1	0		1	9999	1	-1			-1											1		2	1		100	释放定点型电子战无人机，为区域内载机附加光学迷彩，并干扰敌方火控，使其只能优先锁定无人机。											普通,鸣神,武装1					1		20092		10520101		
100050302	零一式 点防御无人机“朝露”	5	1	0		1	9999	1	-1			-1											1		2	1		100	释放伴随型点防御无人机，自主拦截来袭导弹，并张开护盾阵列。											普通,鸣神,武装1					1		20093		72		
100050401	一六式 机动锚爪“疾风”	5	1	0		1	9999	1	-1			-1											1		2	1		100	可将自身牵引至勾爪锚点或悬挂于制高点，并为机体暂时附加光学迷彩。											普通,鸣神,武装2					1		20094		10580307		
100050402	三二式 机雷锚爪“笼鸟”	5	1	0		1	9999	1	-1			-1											1		2	1		100	布设一次性诡雷，诡雷发射锚爪牵引锁定目标，将其行动限制在一定区域内。											普通,鸣神,武装2					1		20095		692		
100050403	一五式 脉冲机雷“天惊”	5	1	0		1	9999	1	-1			-1											1		2	1		100	布设一次性诡雷，敌方进入感应范围后启动，放出感应脉冲瘫痪区域内所有敌对目标。											普通,鸣神,武装2					1		20096		988		
100050501	零七式 光学迷彩“镜花”	5	1	0		1	9999	1	-1			-1											1		2	1		100	展开全频谱光学迷彩隐匿身形，机体发动攻击时失效。											普通,鸣神,武装3					1		20097		10580201		
100050601	头部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,鸣神,头部					1		20025				
100050701	手臂1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,鸣神,手臂					1		20042				
100050801	身躯1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,鸣神,身躯					1		20026				
100050901	腿部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,鸣神,腿部					1		20043				
100051001	背部1	5	1	0		1	9999	1	-1			-1											1		2	1		100												普通,鸣神,背部					1		20044				
100051111	收束身管“迅雷”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	压缩束流截面，增加能量密度，提高武器伤害。		压缩束流截面，增加能量密度，提高武器伤害。									普通,零八式 长程射束炮“迅雷”,强化身管					1		20098				
100051121	辅助火控单元“迅雷”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	额外火控附件，提高锁定速度。		额外火控附件，提高锁定速度。									普通,零八式 长程射束炮“迅雷”,改良火控					1		20099				
100051131	高容量电容“迅雷”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	大容量电容器，增加弹匣容量。		大容量电容器，增加弹匣容量。									普通,零八式 长程射束炮“迅雷”,弹匣改装					1		20100				
100051211	收束身管“电光”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	压缩束流截面，增加能量密度，提高武器伤害。		压缩束流截面，增加能量密度，提高武器伤害。									普通,零九式 长程射束炮“电光”,强化身管					1		20101				
100051221	辅助火控单元“电光”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	额外火控附件，提高锁定速度。		额外火控附件，提高锁定速度。									普通,零九式 长程射束炮“电光”,改良火控					1		20102				
100051231	高容量电容“电光”	3	1	1	0	1	1000	1	-1			-1									1		1		1	1		100	大容量电容器，增加弹匣容量。		大容量电容器，增加弹匣容量。									普通,零九式 长程射束炮“电光”,弹匣改装					1		20103				
100070101	“天光”能量炮	5	1	0	0	1	9999	1	-1			-1											1		2	1		100	性能均衡的重离子炮。											普通,卢米纳尔,主武器					1		20256		728		
100070102	刺杀利爪	5	1	0	0	1	9999	1	-1			-1											1		2	1		100	命中可以使用后续技能/后续技能可以3段进行近身光束爪攻击											普通,卢米纳尔,主武器					1		20029		1681		
100070201	“焚风”同步锚爪	5	1	0	0	1	9999	1	-1			-1											1		2	1		100	射出能劫持敌我识别系统的锚爪，令目标将我方识别为友军、目标友方将其识别为敌军。											普通,卢米纳尔,副武器					1		20159		730		
100070202	“冰映光”脉冲锚爪	5	1	0	0	1	9999	1	-1			-1											1		2	1		100	对锁定目标射出锚爪，命中时放出感应脉冲瘫痪目标。											普通,卢米纳尔,副武器					1		20257		1676		
100070301	“西蒙风”干扰烟幕散布器	5	1	0	0	1	9999	1	-1			-1											1		2	1		100	大范围散布电子战单元，干扰烟幕范围内敌方机体火控系统，使之无法锁定任何目标。											普通,卢米纳尔,武装1					1		20160		729		
