int	string	LangText	int	int	int	int	int	uint[]	uint[]	uint[]	uint[]	uint[]	string[]	string	int	string[]	int	bool	int	int[]	int[]	int[]	int[]	int[]	int[][]	enum.MechaSlotsType	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	Slots[].int[]	Slots[].int	bool	enum.CurrencyType	int	int[]	int[]	int	int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	EquipProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	PartMechaProperty[].int	string	int	string	int
100070102	卢米纳尔默认，LB	刺杀利爪	10007	1	1	0		1681		1681						M7_MainWeapon_1										1											200	910001,910011,910014,910016	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20029
100070201	卢米纳尔默认，RB	“焚风”同步锚爪	10007	2	1	0		730		730						M7_SubWeapon_1										2											200	910007,910012,910014,910015	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20159
100070202	卢米纳尔默认，RB	“冰映光”脉冲锚爪	10007	2	2	0		1780		1780						M7_SubWeapon_2										2											200	910007,910012,910014,910015	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20257
100070301	卢米纳尔默认，特武1	“西蒙风”干扰烟幕散布器	10007	3	1	0		729		729						M7_SpecialWeapon1_1										3											200	910008,910012,910013,910015	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20160
100070302	卢米纳尔默认，特武1	“电集流”干扰场发生器	10007	3	2	0		1692		1692						M7_SpecialWeapon1_2										3											200	910008,910012,910013,910015	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20209
100070401	卢米纳尔默认，特武2	“气辉”同温层射束系统	10007	4	1	0		731		731						M7_SpecialWeapon2_1										4											200	910003,910011,910013,910016	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20158
100070402	卢米纳尔默认，特武2	轨道炮·狙击	10007	4	1	0		1702		1702						M7_SpecialWeapon2_2										4											200	910003,910011,910013,910016	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20029
100070501	卢米纳尔默认，特武3	“虹彩”支援推进翼	10007	5	1	0		732		732						M7_SpecialWeapon3_1										5											200	910010,910012,910013,910015	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20255
100070502	卢米纳尔特武3换装1	“EIC”干扰器	10007	5	2	0		1655		1655						M7_SpecialWeapon3_2										5											200	910010,910012,910013,910015	5,5,5,5	600	6	1	2500	0	10000	2	5000	0	10000	3	5500	0	10000	7	5000	0	10000	19	6500	0	10000	12	2500	0	10000										20209
100070601		头部1	10007	6		0										M7_Head_1																																																											
100070701		手臂1	10007	7		0										M7_Arm_1																																																											
100070801		身躯1	10007	8		0										M7_Torso_1																																																											
100070901		腿部1	10007	9		0										M7_Leg_1																																																											
100071001		背部1	10007	10		0										M7_Back_1																																																											
100090101	德拉姆默认，LB	“双头魔犬”脉冲照射炮	10009	1	1	0		644		644						M9_MainWeapon_1									1,0|2,0|3,100	1	100091111	100	100091121	100	100091131	100		0	1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	7000	0	10000	4	5500	0	10000	6	5500	0	10000	7	2500	0	10000	19	6000	0	10000	12	3000	0	10000	25	2000							Assets/Art/Characters/Players/M9/P_M9_HandWeapon_1_L_LOD0_Complete.prefab	20104
100090102	德拉姆默认，LB换装1	“涅索斯”离子爆破炮	10009	1	2	0		562		562						M9_MainWeapon_2										1									1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	6000	0	10000	4	5500	0	10000	6	5500	0	10000	7	2000	0	10000	19	3000	0	10000	12	2000	0	10000	25	1500							Assets/Art/Characters/Players/M9/P_M9_HandWeapon_2_L_LOD0.prefab	20105
100090103	德拉姆默认，LB换装2	“拉冬”分束炮	10009	1	3	0		738		738						M9_MainWeapon_3										1									1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	6500	0	10000	4	3500	0	10000	6	2500	0	10000	7	2500	0	10000	19	3000	0	10000	12	2000	0	10000	25	1500							Assets/Art/Characters/Players/M9/P_M9_HandWeapon_3_L_LOD0.prefab	20106
100090201	德拉姆默认，RB	“双头魔犬”脉冲照射炮	10009	2	1	0		654		654						M9_SubWeapon_1									1,0|2,0|3,100	2	100092111	100	100092121	100	100092131	100		0	1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	7000	0	10000	4	5500	0	10000	6	5500	0	10000	7	2500	0	10000	19	6000	0	10000	12	3000	0	10000	25	2000							Assets/Art/Characters/Players/M9/P_M9_HandWeapon_1_L_LOD0_Complete.prefab	20107
100090202	德拉姆默认，RB换装1	“涅索斯”离子爆破炮	10009	2	2	0		734		734						M9_SubWeapon_2										2									1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	6000	0	10000	4	5500	0	10000	6	5500	0	10000	7	2000	0	10000	19	3000	0	10000	12	2000	0	10000	25	1500							Assets/Art/Characters/Players/M9/P_M9_HandWeapon_2_R_LOD0.prefab	20108
100090203	德拉姆默认，RB换装2	“拉冬”分束炮	10009	2	3	0		741		741						M9_SubWeapon_3										2									1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	6500	0	10000	4	3500	0	10000	6	2500	0	10000	7	2500	0	10000	19	3000	0	10000	12	2000	0	10000	25	1500							Assets/Art/Characters/Players/M9/P_M9_HandWeapon_3_R_LOD0.prefab	20109
100090301	德拉姆默认，特武1	“斯库拉”点防御无人机	10009	3	1	0		10920201		10920201						M9_SpecialWeapon1_1										3									1	101	200	910008,910012,910013,910015	5,5,5,5	600	3	19	4500	0	10000	16	5500	0	10000	10	4000	0	10000													27	3500							Assets/Art/Characters/Players/M9/P_M9_BackUavShield_1_LOD0.prefab	20110
100090302	德拉姆换装1，特武1	“塞壬”点防御无人机	10009	3	2	0		927		927	1158					M9_SpecialWeapon1_2										3									1	101	200	910008,910012,910013,910015	5,5,5,5	600	3	19	2500	0	10000	16	7500	0	10000	10	4000	0	10000													27	4000							Assets/Art/Characters/Players/M9/P_M9_BackUavShield_2_LOD0.prefab	20111
100090401	德拉姆，特武3，换装1	“卡律布狄斯”炮台无人机	10009	4	1	0		1065,1327,1328		1065,1327,1328						M9_SpecialWeapon2_1										4									1	101	2000	910001,910008,910012	10,1,1	18000	5	19	3300	0	10000	1	3500	0	10000	4	2800	0	10000	8	3000	0	10000	13	3500	0	10000					25	1000							Assets/Art/Characters/Players/M9/P_M9_ShoulderUav_1_LOD0.prefab	20112
100090402	德拉姆换装1，特武2	“刻托”增幅单元	10009	4	2	0		571		571						M9_SpecialWeapon2_2										4									1	101	200	910010,910012,910013,910015	5,5,5,5	600	3	10	2500	0	10000	11	4500	0	10000	19	2000	0	10000													27	2500							Assets/Art/Characters/Players/M9/P_M9_ShoulderWeapon_2_LOD0.prefab	20113
100090403	德拉姆,特武2,换装2	“革律翁”诱饵无人机	10009	4	1	0		1497		1497						M9_SpecialWeapon2_3										4									1	101	2000	910001,910008,910012	10,1,1	18000	2	19	1500	0	10000	13	5500	0	10000																	25	1000								20148
100090501	德拉姆默认，特武2	“百眼巨人”分束炮	10009	5	1	0		10920101		10920101						M9_SpecialWeapon3_1									1,0|2,0|3,100	5	100094111	100	100094121	100	100094131	100		0	1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	7000	0	10000	28	5500	0	10000	3	5500	0	10000	27	6500	0	10000	19	7500	0	10000	4	4500	0	10000	25	2500							Assets/Art/Characters/Players/M9/P_M9_BackWeapon_1_LOD0.prefab	20114
100090502	德拉姆默认，特武3	“百臂巨人”场反射无人机	10009	5	2	0		10920112		10920112						M9_SpecialWeapon3_2										5									1	101	200	910008,910012,910013,910015	5,5,5,5	600	5	1	7000	0	10000	28	5500	0	10000	3	5500	0	10000	27	6500	0	10000	19	5000	0	10000	4	4500	0	10000	25	2500							Assets/Art/Characters/Players/M9/P_M9_ArmUav_1_LOD0.prefab	20115
100090503	德拉姆特武3，换装2	“戈尔贡”场反射无人机	10009	5	3	0		1095		1095						M9_SpecialWeapon3_3										5									1	101	200	910008,910012,910013,910015	5,5,5,5	600	5	1	7000	0	10000	28	5500	0	10000	3	5500	0	10000	27	6500	0	10000	19	2500	0	10000	4	4500	0	10000	25	2500							Assets/Art/Characters/Players/M9/P_M9_ArmUav_3_LOD0.prefab	20116
100090601		头部1	10009	6		0										M9_Head_1																																																											
100090701		手臂1	10009	7		0										M9_Arm_1																																																											
100090801		身躯1	10009	8		0										M9_Torso_1																																																											
100090901		腿部1	10009	9		0										M9_Leg_1																																																											
100091001		背部1	10009	10		0										M9_Back_1																																																											
100120101	赤霄默认，LB	“先锋”破障突击炮	10012	1	1	0		11210501		11210501						M12_MainWeapon_1									1,0|2,0|3,100	1	100121111	100	100121121	100	100121131	100		0	1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	4100	0	10000	6	5000	0	10000	9	5500	0	10000	4	4500	0	10000	12	3000	0	10000	19	5500	0	10000	25	1500							Assets/Art/Characters/Players/M12/P_M12_HandWeapon_2_L_LOD0.prefab	20123
100120102	赤霄换装1，LB	“惊涛”重型照射炮	10012	1	2	0		198		198						M12_MainWeapon_2										1									1	101	200	910003,910011,910013,910016	5,5,5,5	600	6	1	5500	0	10000	4	5000	0	10000	6	5500	0	10000	7	3500	0	10000	12	2500	0	10000	19	2000	0	10000	25	2000							Assets/Art/Characters/Players/M12/P_M12_HandWeapon_3_L_LOD0.prefab	20124
100120201	赤霄默认，RB	“摧星”感应战斧	10012	2	1	0		11210401,11210402,11210403		11210401,11210402,11210403						M12_SubWeapon_1										2									1	101	200	910005,910012,910015,910016	5,5,5,5	600	5	1	7500	0	10000	26	8500	0	10000	8	4500	0	10000	15	4100	0	10000	21	7500	0	10000					26	4000							Assets/Art/Characters/Players/M12/P_M12_HandWeapon_1_R_LOD0.prefab	20125
100120202	赤霄换装1，RB	“先锋”破障突击炮	10012	2	2	0		11210801		11210801						M12_SubWeapon_2									1,0|2,0|3,100	2	100122211	100	100122221	100	100122231	100		0	1	101	200	910001,910011,910014,910016	5,5,5,5	600	6	1	4100	0	10000	6	5000	0	10000	9	5500	0	10000	4	4500	0	10000	12	3000	0	10000	19	5500	0	10000	25	2000							Assets/Art/Characters/Players/M12/P_M12_ArmWeapon_1_R_LOD0.prefab	20123
100120203	赤霄换装2，RB	“甲光”模块化护盾	10012	2	3	0		234		234						M12_SubWeapon_3										2									1	101	200	910006,910012,910013,910014	5,5,5,5	600	2	18	6500	0	10000	16	4500	0	10000																	27	3500							Assets/Art/Characters/Players/M12/P_M12_HandWeapon_2_R_LOD0.prefab	20126
100120301	赤霄默认，特武1	“织女”防御力场	10012	3	1	0		18220101		18220101						M12_SpecialWeapon1_1										3									1	101	200	910006,910012,910013,910014	5,5,5,5	600	3	19	5500	0	10000	16	5000	0	10000	11	4500	0	10000													27	2500							Assets/Art/Characters/Players/M12/P_M12_ChestEquip_1_LOD0.prefab	20127
100120401	赤霄默认，特武2	“箭雨”导弹荚舱	10012	4	1	0		18230101		18230101						M12_SpecialWeapon2_1										4								0	1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	3000	0	10000	9	5500	0	10000	3	4500	0	10000	14	5500	0	10000	12	4000	0	10000	19	3500	0	10000	25	2000							Assets/Art/Characters/Players/M12/P_M12_ShoulderWeapon_1_L_LOD0.prefab	20128
100120402	赤霄换装1，特武2	“水渊”导弹荚舱	10012	4	2			11240901		11240901						M12_SpecialWeapon2_2										4									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	2100	0	10000	9	5500	0	10000	3	5500	0	10000	14	5000	0	10000	12	5000	0	10000	19	3000	0	10000	25	2000							Assets/Art/Characters/Players/M12/P_M12_ShoulderWeapon_2_L_LOD0.prefab	20129
100120403	赤霄换装2，特武2	【临时】“暴雨”导弹荚舱	10012	4	2			1458		1458						M12_SpecialWeapon2_3										4									1	101	200	910004,910011,910014,910016	5,5,5,5	600	6	1	2100	0	10000	2	3600	0	10000	3	5500	0	10000	14	5000	0	10000	12	5000	0	10000	19	3000	0	10000	25	2000							Assets/Art/Characters/Players/M12/P_M12_ShoulderWeapon_2_L_LOD0.prefab	20155
100120501	赤霄默认，特武3	“惊蛰”能量破坏炮	10012	5	1	0		18210101		18210101						M12_SpecialWeapon3_1										5								0	1	101	200	910003,910011,910013,910016	5,5,5,5	600	5	1	4100	0	10000	28	5500	0	10000	4	3500	0	10000	27	6000	0	10000	19	1000	0	10000					25	2000							Assets/Art/Characters/Players/M12/P_M12_BackGun_1_LOD0_Complete.prefab	20130
100120502	赤霄换装1，特武3	“焚雷”电磁炮	10012	5	2	0		11250901		11250901						M12_SpecialWeapon3_2									1,0|2,0|3,100	5	100125211	100	100125221	100	100125231	100		0	1	101	200	910002,910011,910013,910016	5,5,5,5	600	6	1	5100	0	10000	26	5500	0	10000	9	3500	0	10000	12	1500	0	10000	19	700	0	10000	4	5000	0	10000	25	2000							Assets/Art/Characters/Players/M12/P_M12_BackGun_2_LOD0_Complete.prefab	20131
100120601		头部1	10012	6		0										M12_Head_1																																																											
100120701		手臂1	10012	7		0										M12_Arm_1																																																											
100120801		身躯1	10012	8		0										M12_Torso_1																																																											
100120901		腿部1	10012	9		0										M12_Leg_1																																																											
100121001		背部1	10012	10		0										M12_Back_1																																																											
610040101		“先锋”破障突击炮	61004	1	99999	0										M12_MainWeapon_1										1									1	101	2000	910001,910009,910006	10,1,1	18000																																			20123
610040201		“摧星”感应战斧	61004	2	99999	0										M12_SubWeapon_1										2									1	101	2000	910001,910004,910006	10,1,1	18000																																			20125
610040301		“织女”电磁防御力场	61004	3	99999	0										M12_SpecialWeapon1_1										3																																																	20127
610040401		“箭雨”导弹荚舱	61004	4	99999	0										M12_SpecialWeapon2_1										4																																																	20128
610040501		“惊蛰”能量破坏炮	61004	5	99999	0										M12_SpecialWeapon3_1										5																																																	20130
610040601		头部1	61004	6	99999	0										M12_Head_1																																																											
610040701		手臂1	61004	7	99999	0										M12_Arm_1																																																											
610040801		身躯1	61004	8	99999	0										M12_Torso_1																																																											
610040901		腿部1	61004	9	99999	0										M12_Leg_1																																																											
610041001		背部1	61004	10	99999	0										M12_Back_1																																																											
